NFL DRAFT 2020-2024 DEFENSIVE TACKLE SENIOR YEAR OF HIGH SCHOOL STATISTICS,,,,,,,,,,,,,,,,,,
YEAR,PICK,ROUND,PICK #,PLAYER,NAME,TEAM,SCHOOL,GP,SOLO,ASST,TKLS,T/G,TFL,GP,SACKS,YDL,S/G,HURS
2025,1,1,5,5,Mason Graham ,Cleveland Browns,Michigan,13,32,35,67,5.2,21,13,14,95,1.1,
,2,1,13,13,Kenneth Grant ,Miami Dolphins,Michigan,12,32,6,38,3.2,14.5,12,6.5,44,0.5,12
,3,1,16,16,Walter Nolen ,Arizona Cardinals,Ole Miss,14,74,11,85,6.1,31,14,14,71,1,31
,4,1,21,21,Derrick Harmon,Pittsburgh Steelers,Oregon,,,,,,,,,,,
,5,1,28,28,Tyleik Williams ,Detroit Lions,Ohio State,,,,47,,,,3.5,,,
,6,2,9,41,T.J. Sanders ,Buffalo Bills,South Carolina,8,38,21,59,7.4,18,8,6,,0.8,
,7,2,11,43,Alfred Collins ,San Francisco 49ers,Texas,10,53,33,86,8.6,35,10,8,23,0.8,23
,8,2,30,62,Shemar Turner ,Chicago Bears,Texas A&M,12,43,33,76,6.3,18,12,12.5,17,1,25
,9,2,31,63,Omarr Norman-Lott,Kansas City Chiefs,Tennessee,6,45,,45,7.5,9,6,5,,0.8,
,10,3,1,65,Darius Alexander ,New York Giants,Toledo,12,45,42,87,7.3,21,12,10,46,0.8,
,11,3,7,71,Vernon Broughton ,New Orleans Saints,Texas,10,16,20,36,3.6,10,10,3,12,0,
,12,3,22,86,Jamaree Caldwell,Los Angeles Chargers,Oregon,,,,,,,,,,,
,13,4,7,109,Deone Walker ,Buffalo Bills,Kentucky,,,,43,,15,,6,,,
,14,4,9,111,Ty Robinson ,Philadelphia Eagles,Nebraska,13,70,4,74,5.7,34,13,7,34,0.5,6
,15,4,11,113,CJ West ,San Francisco 49ers,Indiana,,,,,,,,,,,
,16,4,33,135,Tonka Hemingway ,Las Vegas Raiders,South Carolina,10,74,18,92,9.2,24,10,4,31,0.4,
,17,4,35,137,Joshua Farmer ,New England Patriots,Florida State,6,11,7,18,3,4,11,2,12,0.2,
,18,5,1,139,Tyrion Ingram-Dawkins,Minnesota Vikings,Georgia,,,,31,,,,7,34,,
,19,5,2,140,Cam Jackson ,Carolina Panthers,Florida,,,,,,,,,,,
,20,5,4,142,Rylie Mills ,Seattle Seahawks,Notre Dame,7,8,22,30,4.3,17,7,3,4,0.4,
,21,5,5,143,Jordan Phillips ,Miami Dolphins,Maryland,10,41,14,56,5.6,29,10,11.5,73,1.2,18
