NFL DRAFT 2020-2025 LINEBACKER HIGH SCHOOL COMBINE DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEAR,PICK,ROUND,PICK #,PLAYER,NAME,TEAM,SCHOOL,HT,WT,WING,HAND,40,SHUT,3 CONE,VERT,BROAD,100M,110HH,200M,300IH,400M,400R,SHOT,DISCUS,JAVELIN,HJ,LJ,TJ,,
2025,1,1,3,3,Abdul Carter,New York Giants,Penn State,76,235,,,,,,,,,,,,,,,,,,,,,
,2,1,15,15,Jalon Walker,Atlanta Falcons,Georgia,74,220,,,,,,,,11.94,,,,,,,89,,,19.75,37.5,,
,3,1,31,31,Jihaad Campbell,Philadelphia Eagles,Alabama,75,215,,,,,,,,,,,,,,,,,,,,,
,4,2,1,33,Carson Schwesinger,Cleveland Browns,UCLA,74,210,,,,,,,,,,,,,,,,,,,,,
,5,2,2,34,Jay Higgins ,Houston Texans,Iowa,74,215,,,,,,,,,,,,,,40.42,77.75,,,,,,
,6,2,17,49,Demetrius Knight Jr. ,Cincinnati Bengals,South Carolina,74,210,,,,,,,,11.0,,23.16,,,45.1,,,,,21.25,,,
,7,2,27,59,Michael Green,Baltimore Ravens,Marshall,76,215,,,,,,,,12.07,,,,,,39.08,83.58,,5.67,18.58,37.67,,
,8,3,11,75,Nick Martin ,San Francisco 49ers,Oklahoma State,72,195,,,,,,,,,,,,,,,,,,,41.67,,
,9,3,26,90,Josaiah Stewart,Los Angeles Rams,Michigan,74,235,,,,,,,,,,,,,,,,,,,,,
,10,4,5,107,Jack Kiser,Jacksonville Jaguars,Notre Dame,73,205,,,,,,,,11.1,,22.44,,,,54.25,166.83,,,,,,
,11,4,10,112,Danny Stutsman ,New Orleans Saints,Oklahoma,74,215,,,,,,,,,,24.54,,56.14,48.71,,,,,20,,,
,12,4,13,115,Cody Simon ,Arizona Cardinals,Ohio State,73,214,,,4.53,4.19,,38.2,,,,,,,,,,,,,,,
,13,4,17,119,Barrett Carter ,Cincinnati Bengals,Clemson,73,220,,,,,,,,,,,,,,,,,,,,,
,14,4,27,129,Teddye Buchanan,Baltimore Ravens,California,74,215,,,,,,,,11.9,,26.93,,,45.48,,,,5,21,41.25,,
,15,4,30,132,Ruben Hyppolite II,Chicago Bears,Maryland,71,223,,,4.5,4.47,,31.5,,,,,,,,,,,,,,,
,16,4,32,134,Que Robinson ,Denver Broncos,Alabama,77,215,,9.75,4.6,4.4,,37.8,,11.6,,24.17,,56.9,,,,,,17.92,,,
,17,5,16,152,Shemar James,Dallas Cowboys,Florida,74,212,,,,,,,,11.67,,24.09,,,44.6,,,,,17.33,,,
,18,5,20,156,Jeffrey Bassa,Kansas City Chiefs,Oregon,75,200,,,4.9,4.5,,34.6,,11.24,,23.24,,,,,,96.75,,20.58,,,
,19,5,23,159,Collin Oliver,Green Bay Packers,Oklahoma State,74,220,,,,,,,,,,,,,,44.92,110.67,,6.17,21.25,,,
,20,5,25,161,Smael Mondon Jr. ,Philadelphia Eagles,Georgia,75,220,,,,,,,,11.46,,23.33,,,42.87,,,,,18.25,46.08,,
,21,5,26,162,Francisco Mauigoa,New York Jets,Miami,74,215,,,,,,,,11.42,,23.47,,,,,,,,,,,
,22,5,36,172,Chris Paul Jr. ,Los Angeles Rams,Ole Miss,73,235,73,9.5,5.1,4.66,,30.5,,,,,,,,,,,,,,,
,23,6,18,194,Jalen McLeod,Jacksonville Jaguars,Auburn,74,216,,,,4.19,,31.5,,,,,,,,,,,,,,,
,24,6,25,201,Kobe King ,Minnesota Vikings,Penn State,73,236,77,9,,4.57,,,,,,24.77,,,46.16,42.67,101.83,,,,,,
,25,6,29,205,Kain Medrano ,Washington Commanders,UCLA,74,195,,,,,,,,11.3,,,,,42.4,58.75,199.75,176.5,,20.83,,,
,26,7,6,222,Cody Lindenberg,Las Vegas Raiders,Minnesota,74,205,,,4.76,4.22,,30.2,,,,,,,,,,,,,,,
,27,7,10,226,Carson Bruener,Pittsburgh Steelers,Washington,73,201,,,,,,,,,,,,,,,,,,,,,
2025 AVERAGE,,,,,,,,73.96,215.26,75.00,9.42,4.75,4.40,,33.47,,11.52,,24.01,,56.52,45.05,46.68,118.49,136.63,5.61,19.70,40.83,,
2024,1,2,13,45,Edgerrin Cooper,Packers,Texas A&M,75,229,82,10,4.99,4.49,7.75,26,115,,,,,,,,,,,,,,
,2,3,5,69,Junior Colson,Chargers,Michigan,74,199,76,,4.86,4.53,7.83,31.5,109,,,,,,,,,,5.5,19.42,,,
,3,3,8,72,Trevin Wallace,Panthers,Kentucky,,,,,,,,,,,,,,,,,,,,,,,
,4,3,23,87,Marist Liufau,Cowboys,Notre Dame,,,,,4.77,4.31,,34,,,,,,,43.45,,,,,,,,
,5,3,27,91,Ty'Ron Hopper,Packers,Missouri,,,,,,,,,,11.1,15.64,22.34,,,41.84,40.67,,,6.17,23.33,,,
,6,3,29,93,Adisa Isaac,Ravens,Penn State,,,,,,,,,,11.9,20.5,23.35,50.47,,43.56,,,,,,40.25,,
,7,3,34,98,Payton Wilson,Steelers,North Carolina State,,,,,,4.68,,28.9,,,,,,,,,,,,,,,
,8,4,6,106,Cedric Gray,Titans,North Carolina,77,226,,,4.82,4.31,,27.3,,,,,,,,,,,,,,,
,9,4,18,118,Tyrice Knight,Seahawks,Texas-El Paso,,,,,4.61,4.4,,31.8,,,,,,,,,,,,,,,
,10,5,4,139,Jordan Magee,Commanders,Temple,,,,,5.15,4.72,,24.5,,,,,,,,,,,,,,,
,11,5,8,143,JD Bertrand,Falcons,Notre Dame,,,,,,,,,,,,,,,,,,,,,,,
