NFL DRAFT 2020-2024 LINEBACKER SENIOR YEAR OF HIGH SCHOOL STATISTICS,,,,,,,,,,,,,,,,,,
YEAR,PICK,ROUND,PICK #,PLAYER,NAME,TEAM,SCHOOL,GP,SOLO,ASST,TKLS,T/G,TFL,GP,SACKS,YDL,S/G,HURS
2025,1,1,3,3,Abdul Carter,New York Giants,Penn State,,53,25,78,,10,,2,,,
,2,1,15,15,Jalon Walker,Atlanta Falcons,Georgia,6,24,15,39,6.5,8,6,1,,0.2,
,3,1,31,31,Jihaad Campbell,Philadelphia Eagles,Alabama,7,44,1,45,6.4,0,7,7,9,1.0,
,4,2,1,33,Carson Schwesinger,Cleveland Browns,UCLA,5,23,13,36,7.2,0,,,,,
,5,2,2,34,Jay Higgins ,Houston Texans,Iowa,10,78,71,149,14.9,8,10,1,2,0.1,1
,6,2,17,49,Demetrius Knight Jr. ,Cincinnati Bengals,South Carolina,10,27,11,38,3.8,0,10,,,,
,7,2,27,59,Michael Green,Baltimore Ravens,Marshall,,,,70,,8,,9,,,
,8,3,11,75,Nick Martin ,San Francisco 49ers,Oklahoma State,,,,,,,,,,,
,9,3,26,90,Josaiah Stewart,Los Angeles Rams,Michigan,,,,30,,14,,7,,,
,10,4,5,107,Jack Kiser,Jacksonville Jaguars,Notre Dame,15,66,93,159,10.6,8.5,15,,,,
,11,4,10,112,Danny Stutsman ,New Orleans Saints,Oklahoma,8,52,26,78,9.8,11,8,5,33,0.6,1
,12,4,13,115,Cody Simon ,Arizona Cardinals,Ohio State,12,62,44,106,8.8,6,12,4.5,22,0.4,14
,13,4,17,119,Barrett Carter ,Cincinnati Bengals,Clemson,7,29,9,38,5.4,11,7,5,47,0.7,4
,14,4,27,129,Teddye Buchanan,Baltimore Ravens,California,,,,83,,,,6,,,5
,15,4,30,132,Ruben Hyppolite II,Chicago Bears,Maryland,6,54,7,61,10.2,11,6,3,14,0.5,1
,16,4,32,134,Que Robinson ,Denver Broncos,Alabama,,,,,,,,,,,
,17,5,16,152,Shemar James,Dallas Cowboys,Florida,6,10,7,17,2.8,4,6,1,13,0.2,
,18,5,20,156,Jeffrey Bassa,Kansas City Chiefs,Oregon,9,29,9,38,4.2,3,9,1,,0.1,
,19,5,23,159,Collin Oliver,Green Bay Packers,Oklahoma State,11,47,19,66,6.0,17,11,4,,0.4,12
,20,5,25,161,Smael Mondon Jr. ,Philadelphia Eagles,Georgia,4,18,20,38,9.5,,,,,,
,21,5,26,162,Francisco Mauigoa,New York Jets,Miami,,,,,,,,,,,
,22,5,36,172,Chris Paul Jr. ,Los Angeles Rams,Ole Miss,13,65,52,117,9,24,13,2.5,22,0.2,10
,23,6,18,194,Jalen McLeod,Jacksonville Jaguars,Auburn,13,,,60,4.6,,13,10,,0.77,15
,24,6,25,201,Kobe King ,Minnesota Vikings,Penn State,,,,,,,,,,,
,25,6,29,205,Kain Medrano ,Washington Commanders,UCLA,13,62,49,111,8.5,13,13,1,10,0.1,
,26,7,6,222,Cody Lindenberg,Las Vegas Raiders,Minnesota,,,,,,,,,,,
,27,7,10,226,Carson Bruener,Pittsburgh Steelers,Washington,,,,122,,13,,,,,
2025 AVERAGE,,,,,,,,9.12,43.71,27.71,71.77,7.54,8.92,9.73,4.12,19.11,0.41,7.00
,,,,,,,,,,,,,,,,,,
2024,1,2,13,45,Edgerrin Cooper,Packers,Texas A&M,,,,,,,,,,,
,2,3,5,69,Junior Colson,Chargers,Michigan,,,,,,,,,,,
,3,3,8,72,Trevin Wallace,Panthers,Kentucky,12,,,96,8,12,12,5,,0.4,
,4,3,23,87,Marist Liufau,Cowboys,Notre Dame,,,,,,,,,,,
,5,3,27,91,Ty'Ron Hopper,Packers,Missouri,11,74,12,86,7.8,6,11,,,,
,6,3,29,93,Adisa Isaac,Ravens,Penn State,12,,,88,7.3,34,12,25,,2.1,
,7,3,34,98,Payton Wilson,Steelers,North Carolina State,8, , ,103,12.9,21,8,10, ,1.3, 
,8,4,6,106,Cedric Gray,Titans,North Carolina,12,53,17,70,5.8,6,12,1.5,4,0.1,
,9,4,18,118,Tyrice Knight,Seahawks,Texas-El Paso,9,24,58,82,9.1,2,9,1,13,0.1,
,10,5,4,139,Jordan Magee,Commanders,Temple,,,,,,,,,,,
,11,5,8,143,JD Bertrand,Falcons,Notre Dame,14,42,46,88,6.3,14,14,4,25,0.3,
,12,5,13,148,Tommy Eichenberg,Raiders,Ohio State,14,80,46,126,9,23,14,,,,
,13,5,20,155,Jeremiah Trotter Jr,Eagles,Clemson,,,,,,,,,,,
,14,5,25,160,Edefuan Ulofoshio,Bills,Washington,12,28,18,46,3.8,4.5,12,3,,0.3,5
,15,5,40,175,Jaylan Ford,Saints,Texas,15,115,27,142,9.5,11,15,1,,0.1,
,16,6,7,183,Darius Muasau,Giants,UCLA,8,,,38,4.8,,8,1,,0.1,
,17,6,12,188,Jamal Hill,Texans,Oregon,14,,,67,4.8,7,14,,,,
,18,6,30,206,Nathaniel Watson,Browns,Mississippi State,14,,,45,3.2,,14,,,,
,19,7,16,236,Myles Cole,Jaguars,Texas Tech,12,,,48,4.0,12,12,5,,0.4,
,20,7,20,240,Michael Barrett,Panthers,Michigan,,,,,,,,,,,
,21,7,31,251,Tatum Bethune,49ers,Florida State,11,62,18,80,7.3,24,11,14,83,1.3,
,22,7,32,252,Jaylen Harrell,Titans,Michigan,10,42,16,58,5.8,11,10,3,,0.3,4
2020 - 2024 AVERAGES,,,,,,,,11.75,57.78,28.67,78.94,6.84,13.39,11.75,6.13,31.25,0.56,4.50
,,,,,,,,,,,,,,,,,,
2023,1,1,3,3,Will Anderson,Houston Texans,Alabama,13,,,,,15,,22,,1.7,
,2,1,7,7,Tyree Wilson,Las Vegas Raiders,Texas Tech,12,88,38,126,10.5,38,12,5,44,0.4,29
,3,1,18,18,Jack Campbell,Detroit Lions,Iowa,14,,,168,12,12.5,14,5,,0.4,
,4,1,30,30,Nolan Smith,Philadelphia Eagles,Georgia,8,31,16,47,5.9,14.5,8,6.5,5,0.8,6
,5,3,4,67,Drew Sanders,Denver Broncos,Arkansas,12,6,0,6,0.5,4,12,2.5,0,0.2,6
,6,3,17,80,D.J. Johnson,Carolina Panthers,Oregon,12,47,38,85,7.1,31,12,15,126,1.3,22
,7,3,22,85,Daiyan Henley,Los Angeles Chargers,Washington State,,,,,,,,,,,
,8,3,23,86,Trenton Simpson,Baltimore Ravens,Clemson,,,,,,,,,,,
,9,3,27,90,DeMarvion Overshown,Dallas Cowboys,Texas,15,,,173,11.5,7,15,5,,0.3,
,10,3,28,91,Dorian Williams,Buffalo Bills,Tulane,12,,,97,8.1,11,12,6,,0.5,
,11,4,19,121,Ventrell Miller,Jacksonville Jaguars,Florida,,,,,,,,,,,
,12,4,30,132,Nick Herbig,Pittsburgh Steelers,Wisconsin,,,,,,,,,,,
,13,5,1,136,Yasir Abdullah,Jacksonville Jaguars,Louisville,,,,,,,,,,,
,14,5,13,148,Noah Sewell,Chicago Bears,Oregon,10,61,42,103,10.3,12,10,4,32,0.4,11
,15,5,18,153,SirVocea Dennis,Tampa Bay Buccaneers,Pittsburgh,,,,,,,,,,,
,16,5,26,161,Nick Hampton,Los Angeles Rams,Appalachian State,11,37,26,63,5.7,15,11,7,17,0.6,0
,17,5,32,167,Henry To'oto'o,Houston Texans,Alabama,,,,,,,,,,,
,18,5,33,168,Owen Pappoe,Arizona Cardinals,Auburn,13,79,33,112,8.6,14,13,4,21,0.3,5
,19,5,38,173,Robert Beal,San Francisco 49ers,Georgia,,,,,,,,,,,
,20,6,7,184,Zaire Barnes,New York Jets,Western Michigan,12,28,,77,6.4,,12,,,,
,21,6,26,203,Amari Burney,Las Vegas Raiders,Florida,9,18,0,18,2,1,9,,0,0,2
,22,6,39,216,Dee Winters,San Francisco 49ers,TCU,,,,,,,,,,,
,23,7,16,233,Andre Jones,Washington Commanders,Louisiana,9,55,0,79,8.8,0,9,,,,
,24,7,22,255,Jalen Graham,San Francisco 49ers,Purdue,,,,,,,,,,,
2020 - 2024 AVERAGES,,,,,,,,11.57,45.00,21.44,88.77,7.49,13.46,11.46,7.45,30.63,0.57,10.13
,,,,,,,,,,,,,,,,,,
2022,1,1,22,22,Quay Walker,Packers,Georgia,10,41,35,76,7.6,10,10,1,5,0.1,5
,2,1,27,27,Devin Lloyd,Jaguars,Utah,12,30,22,52,4.3,1,12,,,,
,3,2,6,38,Arnold Ebiketie,Falcons,Penn State,10,,,,,36,,21.5,,2.2,
,4,2,8,40,Boye Mafe,Seahawks,Minnesota,10,,,78,7.8,10,10,4,,0.4,
,5,2,13,45,David Ojabo,Ravens,Michigan,10,,,33,3.3,8,10,8.5,,0.9,
,6,2,26,58,Troy Andersen,Falcons,Montana State,12,7,21,28,2.3,0,,,,,
,7,2,29,61,Drake Jackson,49ers,USC,9,6,21,27,3,5,9,3.5,0,0.4,5
,8,2,32,64,Nik Bonitto,Broncos,Oklahoma,12,53,28,81,6.8,11,12,9,73,0.8,7
,9,3,2,66,Brian Asamoah,Vikings,Oklahoma,10,23,13,36,3.6,8,10,1.5,0,0.2,1
,10,3,6,70,Chad Muma,Jaguars,Wyoming,7,56,21,77,11,8,7,3,,0.4,0
,11,3,11,75,Christian Harris,Texans,Alabama,,,,,,,,,,,
,12,3,18,82,DeAngelo Malone,Falcons,Western Kentucky,7,20,29,49,7,8,7,5,32,0.7,0
,13,3,19,83,Nakobe Dean,Eagles,Georgia,14,64,63,127,9.1,20,14,6,24,0.4,0
,14,3,25,89,Terrel Bernard,Bills,Baylor,11,61,53,114,10.4,7,11,,,,3
,15,3,38,102,Channing Tindall,Dolphins,Georgia,10,114,18,132,13.2,14,10,9,0,0.9,1
,16,3,39,103,Leo Chenal,Chiefs,Wisconsin,,,,,,,,,,,
,17,4,15,120,Brandon Smith,Panthers,Penn State,14,,,135,9.6,15,14,6,,0.4,
,18,5,3,146,Micah McFadden,Giants,Indiana,14,126,85,211,15.1,39,14,7,49,0.5,
,19,5,15,158,Tyreke Smith,Seahawks,Ohio State,12,,,70,5.8,23,,11,,0.9,
,20,5,18,161,D'Marco Jackson,Saints,Appalachian State,10,70,26,96,9.6,1,10,3,5,0.3,6
,21,5,33,176,Damone Clark,Cowboys,Louisiana State,,,,,,,,,,,
,22,6,2,181,Kyron Johnson,Eagles,Kansas,7,25,50,75,10.7,7,7,7,43,1,1
,23,6,3,182,Darrian Beavers,Giants,Cincinnati,,,,,,,,,,,
,24,6,9,188,Malcolm Rodriguez,Lions,Oklahoma State,,,,,,,,,,,
,25,6,14,193,Devin Harper,Cowboys,Oklahoma State,,,,,,,,,,,
,26,6,38,217,James Houston,Lions,Jackson State,10,20,17,37,3.7,5,10,1,6,0.1,0
,27,6,40,219,Chance Campbell,Titans,Mississippi,6,25,7,32,5.3,4,6,4,13,0.7,0
,28,7,3,224,Cameron Goode,Dolphins,California,,,,,,,,,,,
