player_id,class_field,college_level_projection,uc_score,last,first,effective_school_name,college_enrolled,school_city,state,county,position_played,position_projected,height,weight,wingspan,forty,shuttle,vertical,track60m,track100m,track200m,broad,trackLJ,highJump,trackSP,discus,updated,head_coach,player_head_shot,camp_event_videos,hudl_video_link,college_offers,commit,max_speed_video,query_name,wiki_year,wiki_round,wiki_pick,wiki_team,wiki_pos,wiki_college
85004263,2019,Power 5,0.925,Ekwonu,Ikem,Providence Day School,,Charlotte,NC,Mecklenburg,OG,OG,75.5,288,,5.26,,25.6,,,,,,,,,2021-04-21T19:08:35Z,Adam Hastings,https://s3-us-west-2.amazonaws.com/media.ucreport.com/headshots/Ikem_Ekwonu.jpg,"[{'link': 'https://s3-us-west-2.amazonaws.com/media.ucreport.com/videos/Ikem_Ekwonu.mp4', 'text': 'UA Char 4/29/18'}]",https://www.hudl.com/profile/5673660/ikem-ekwonu,", App State, Charlotte, Georgia Tech, Maryland, Nc State, North Carolina, Syracuse, Tennessee, Vanderbilt, Virginia, West Virginia",,,Ikem Ekwonu,2022,1,6,Carolina Panthers,T,NC State
81000001,2019,Elite Power 5,0.83568281938326,Neal,Evan,IMG Academy,,Bradenton,FL,Manatee,OT,OT,79.5,391,80.0,5.6,5.5,22.7,,,,,,,,,2021-04-30T21:15:35Z,Bobby Acosta,https://s3-us-west-2.amazonaws.com/media.ucreport.com/headshots/Evan_Neal.jpg,"[{'link': 'https://s3-us-west-2.amazonaws.com/media.ucreport.com/videos/Evan_Neal.mp4', 'text': 'UA Future50 12/31/16'}, {'link': 'https://s3-us-west-2.amazonaws.com/media.ucreport.com/videos/Evan_Neal_ORL.mp4', 'text': 'UA 2/26/17'}, {'link': 'https://s3-us-west-2.amazonaws.com/media.ucreport.com/videos/Evan_Neal_Nike.mp4', 'text': 'Nike 2/19/17'}, {'link': 'https://s3-us-west-2.amazonaws.com/media.ucreport.com/videos/Evan_NealF50.mp4', 'text': 'F50 1/4/18'}]",http://www.hudl.com/athlete/5474881/evan-neal,"Alabama, Auburn, Florida Atlantic, Florida State, Georgia, Louisiana State, Maryland, Miami (Fl), Michigan, Missouri, Oklahoma, Oregon, South Carolina, South Florida, Southern California, Southern Miss, Tennessee, Ucla",,,Evan Neal,2022,1,7,New York Giants,T,Alabama
85005717,2019,Elite Power 5,,Cross,Charles,Laurel High School Watkins Campus,,Laurel,MS,Jones,OT,OT,77.0,255,,,,,,,,,,,,,2022-11-22T20:24:46Z,Ryan Earnest,https://s3-us-west-2.amazonaws.com/media.ucreport.com/headshots/Charles_Cross.jpg,"[{'link': 'https://s3-us-west-2.amazonaws.com/media.ucreport.com/videos/Charles_CrossDAL.mp4', 'text': 'UA Dallas 4/8/18'}]",https://www.hudl.com/profile/7835600/Charles-Cross,"Arkansas, Auburn, Florida State, Indiana, Kentucky, Louisiana State, Memphis, Mississippi, Mississippi State, Missouri, Southern California, Tulane, Wake Forest",Mississippi State,,Charles Cross,2022,1,9,Seattle Seahawks,T,Mississippi State
85033853,2018,Power 5,,Linderbaum,Tyler,Solon High School,,Solon,IA,Johnson,DT,DT,74.0,255,,,,,,,,,,,,,2022-11-23T18:46:37Z,Kevin Miller,https://s3-us-west-2.amazonaws.com/media.ucreport.com/headshots/Tyler_Linderbaum.jpg,[],https://www.hudl.com/profile/4470703/Tyler-Linderbaum,"Iowa, Iowa State",Iowa,,Tyler Linderbaum,2022,1,25,Baltimore Ravens,C,Iowa
85030628,2017,Power 5,0.9649305555555556,Ingram,Edward,Desoto High School,,Desoto,TX,Dallas,OG,OG,75.5,327,,5.33,4.84,,,,,,,,,,2021-02-04T20:15:01Z,Jeff Wigington,,[],https://www.hudl.com/profile/4809257/Edward-Ingram,", Alabama, Georgia, Illinois, Iowa State, Kansas State, Mississippi State, Missouri, North Carolina , North Texas, Oklahoma, Smu, Tcu, Texas, Utah",Louisiana State,,Ed Ingram,2022,2,59,Minnesota Vikings,G,LSU
85030910,2019,Elite Power 5,,Petit-Frere,Nicholas,Berkeley Prep School,,Tampa,FL,Hillsborough,OT,OT,78.0,272,,,,,,,,,,,,,2021-04-28T20:29:18Z,Dominic Ciao,https://s3-us-west-2.amazonaws.com/media.ucreport.com/headshots/Nicholas_PetitFrere.jpg,[],https://www.hudl.com/profile/4082321/Nick-PetitFrere,"Alabama, Auburn, Clemson, Florida, Florida State, Georgia, Louisiana State, Miami (Fl), Michigan, Nc State, Nebraska, North Carolina, Notre Dame, Ohio State, Oklahoma, Oregon, Penn State, Southern California, Stanford, Tennessee, Texas, Ucla",Ohio State,,Nicholas Petit-Frere,2022,3,69,Tennessee Titans,T,Ohio State
85030664,2017,Power 5,0.9616740088105726,Lucas,Abraham,Archbishop Murphy High School,,Everett,WA,Snohomish,OT,OT,79.0,256,,5.03,4.3,27.2,,,,,,,,,2021-01-25T19:37:08Z,Jerry Jensen,,[],https://www.hudl.com/profile/3596038/Abraham-Lucas,,Washington State,,Abraham Lucas,2022,3,72,Seattle Seahawks,T,Washington State
85030700,2017,Group of 5,,Parham,Dylan,Carrollton High School,,Carrollton,GA,Carroll,TE,OG,75.0,230,,,,,,,,,,,,,2021-01-26T15:56:35Z,Sean Calhoun,,[],https://www.hudl.com/profile/3634296/Dylan-Parham,West Virginia,Memphis,,Dylan Parham,2022,3,90,Las Vegas Raiders,G,Memphis
85001212,2019,Power 5,0.8334801762114538,Rhyan,Sean,San Juan Hills High School,,San Juan Capistrano,CA,Orange,OT,OT,76.0,311,79.0,5.495,5.153,34.0,,,,101.0,,,,,2021-04-22T15:56:41Z,Rob Frith,https://s3-us-west-2.amazonaws.com/media.ucreport.com/headshots/Sean_Rhyan.JPG,[],http://www.hudl.com/profile/5452498/sean-rhyan,"Arizona State, Cal, Oregon, South Carolina, Southern California, Stanford, Ucla, Utah, Washington",,,Sean Rhyan,2022,3,92,Green Bay Packers,G,UCLA
85000731,2018,Elite Power 5,0.9506944444444444,Faalele,Daniel,IMG Academy,,Bradenton,FL,Manatee,OT,OG,80.0,395,,5.62,5.14,23.0,,,,,,,,,2021-01-27T01:13:34Z,Kevin Wright,https://s3-us-west-2.amazonaws.com/media.ucreport.com/headshots/Daniel_Faalele.jpg,"[{'link': 'https://s3-us-west-2.amazonaws.com/media.ucreport.com/videos/Daniel_Faalele.mp4', 'text': None}, {'link': 'https://s3-us-west-2.amazonaws.com/media.ucreport.com/videos/Daniel_Faalele_Nike.mp4', 'text': None}]",http://www.hudl.com/profile/8315793/daniel-faalele,"Arkansas, Auburn, Florida State, Fresno State, Georgia, Hawaii, Illinois, Louisiana State, Miami (Fl), Michigan, Minnesota, Missouri, Oregon State, Tennessee, Texas State, Utah, Virginia",Minnesota,,Daniel Faalele,2022,4,110,Baltimore Ravens,T,Minnesota
