NFL DRAFT 2022-2025 QUARTERBACK HIGH SCHOOL COMBINE DATA,,,,,,,,,,,,,,,,,,,,,,
,PICK,ROUND,PICK #,PLAYER,NAME,TEAM,SCHOOL,HT,WT,WING,HAND,40,SHUT,VERT,100M,110HH,200M,300IH,400M,HJ,LJ,TJ
2025,1,1,1,1,Cam Ward ,Tennessee Titans,Miami,74,231,,,,4.51,26.5,,,,,,,,
,2,1,25,25,Jaxson Dart ,New York Giants,Ole Miss,75,210,,,,,,,,,,,,,
,3,2,8,40,Tyler Shough,New Orleans Saints,Louisville,77,187,,,4.63,4.22,32,,,,,,,,
,4,3,28,92,Jalen Milroe,Seattle Seahawks,Alabama,74,195,74,,4.72,4.11,31,11.16,,24.35,,,,,
,5,3,30,94,Dillon Gabriel,Cleveland Browns,Oregon,71,186,,,4.94,4.44,29,,,,,,,,
,6,5,6,144,Shedeur Sanders,Cleveland Browns,Colorado,73,198,,,,,,,,,,,,,
,7,6,5,181,Kyle McCord,Philadelphia Eagles,Syracuse,75,215,,,5.07,4.5,25.8,,,,,,,,
,8,6,9,185,Will Howard,Pittsburgh Steelers,Ohio State,76,210,,,4.83,4.33,31.5,,,,,,,,
,9,6,13,189,Riley Leonard,Indianapolis Colts,Notre Dame,76,203,,,,,,,,,48.21,,5.75,21.5,43.58
,10,6,21,197,Graham Mertz,Houston Texans,Florida,75,205,,,5.06,4.22,28.9,,,,,,,,
,11,6,37,213,Tommy Mellott,Las Vegas Raiders,Montana State,72,180,,,,,,11.25,,22.61,,50.53,,21.5,
,12,6,39,215,Cam Miller,Las Vegas Raiders,North Dakota State,73,200,,,,,,13.4,,,,,,,
,13,7,11,227,Kurtis Rourke,San Francisco 49ers,Indiana,76,200,,,,,,,,,,,,,
,14,7,15,231,Quinn Ewers,Miami Dolphins,Texas,74,203,,,,,,,,,,,,,
,2025 AVERAGE,,,,,,,74.36,201.64,74.00,,4.88,4.33,29.24,11.94,,23.48,48.21,50.53,5.75,21.50,43.58
,,,,,,,,,,,,,,,,,,,,,,
2024,1,1,1,1,Caleb Williams,Chicago Bears,USC,73,209,,,4.57,4.12,36.3,,,,,,,,
,2,1,2,2,Jayden Daniels,Washington Commanders,Louisiana State,74,157,,,4.68,4.28,33.6,11.37,16.82,23.64,42.44,50.54,,,
,3,1,3,3,Drake Maye,New England Patriots,North Carolina,,,,,,,28.7,,,,,,,,
,4,1,8,8,Michael Penix,Atlanta Falcons,Washington,75,185,,,4.84,4.41,35.6,,,22.89,,,,21,
,5,1,10,10,J.J. McCarthy,Minnesota Vikins,Michigan,,,,,4.87,4.47,30,,,,,,,,
,6,1,12,12,Bo Nix,Denver Broncos,Oregon,74,194,,,4.6,4.06,31.5,,,,,,,,
,7,5,15,150,Spencer Rattler,New Orleans Saints,South Carolina,,,,,4.89,4.27,32.1,,,,,,,,
,8,5,36,171,Jordan Travis,New York Jets,Florida State,,,,,4.68,4.32,31.3,,,,,,,,
,9,6,17,193,Joe Milton,New England Patriots,Tennessee,,,,,4.8,4.65,32.2,,,,,,,,
,10,6,42,218,Devin Leary,Baltimore Ravens,Kentucky,,,,,5,4.46,28.7,,,,,,,,
,11,7,25,245,Michael Pratt,Green Bay Packers,Tulane,,,,,4.95,4.41,33.5,,,,,,,,
2024 AVERAGE,,,,,,,,74,186.25,,,4.788,4.345,32.13636364,11.37,16.82,23.265,42.44,50.54,,21,
,,,,,,,,,,,,,,,,,,,,,,
