NFL DRAFT 2020-2024 SAFETY SENIOR YEAR OF HIGH SCHOOL STATISTICS,,,,,,,,,,,,,,,
YEAR,PICK,ROUND,PICK #,PLAYER,NAME,TEAM,SCHOOL,GP,SOLO,ASST,TKLS,T/G,TFL,INT,PD
2025,1,1,27,27,Malaki Starks ,Baltimore Ravens,Georgia,9,15,2,17,1.9,1,3,2
,2,2,3,35,Nick Emmanwori ,Seattle Seahawks,South Carolina,11,177,55,232,21.1,19,0,
,3,2,32,64,Andrew Mukuba,Philadelphia Eagles,Texas,10,45,10,55,5.5,2,4,
,4,3,18,82,Kevin Winston Jr. ,Tennessee Titans,Penn State,,,,50,,,3,10
,5,3,27,93,Jonas Sanker ,New Orleans Saints,Virginia,,,,46,,,4,
,6,3,30,96,Xavier Watts ,Atlanta Falcons,Notre Dame,11,50,18,68,6.2,3,3,7
,7,4,4,106,Craig Woodson ,New England Patriots,California,,,,96,,,2,
,8,4,16,118,Billy Bowman Jr. ,Atlanta Falcons,Oklahoma,,,,32,,,4,6
,9,4,20,122,Lathan Ransom ,Carolina Panthers,Ohio State,11,28,30,58,5.3,4,0,4
,10,4,28,130,Malachi Moore,New York Jets,Alabama,10,46,37,83,8.3,5,4,8
,11,5,19,155,Dante Trader Jr. ,Miami Dolphins,Maryland,10,18,7,25,2.5,1,6,
,12,5,24,160,Marques Sigle,San Francisco 49ers,Kansas State,,,,87,,,1,
,13,6,11,187,Jaylen Reed ,Houston Texans,Penn State,,,,119,,,1,
,14,6,24,200,Rayuan Lane III,Jacksonville Jaguars,Navy,,,,,,,,
,15,6,38,214,R.J. Mickens ,Los Angeles Chargers,Clemson,8,10,9,19,2.4,1,1,3
,16,7,9,225,Kitan Crawford ,Arizona Cardinals,Nevada,11,24,9,33,3.0,0,3,4
,17,7,14,230,Dan Jackson ,Detroit Lions,Georgia,12,38,38,76,6.3,5,2,
,18,7,16,232,Hunter Wohler,Indianapolis Colts,Wisconsin,,,,78,,,2,
2025 AVERAGE,,,,,,,,10.30,45.10,21.50,69.06,6.25,4.10,2.53,5.50
,,,,,,,,,,,,,,,
2024,1,2,15,47,Tyler Nubin,New York Giants,Minnesota,13,51,,51,3.9,5,,6
