year,round,pick,team,player,pos,college
2026,1,1,Las Vegas Raiders,Fernando Mendoza,QB,Indiana
2026,1,2,New York Jets,David Bailey,OLB,Texas Tech
2026,1,3,Arizona Cardinals,Jeremiyah Love,RB,Notre Dame
2026,1,4,Tennessee Titans,Carnell Tate,WR,Ohio State
2026,1,5,New York Giants,Arvell Reese,LB,Ohio State
2026,1,6,Kansas City Chiefs,Mansoor Delane,CB,LSU
2026,1,7,Washington Commanders,Sonny Styles,LB,Ohio State
2026,1,8,New Orleans Saints,Jordyn Tyson,WR,Arizona State
2026,1,9,Cleveland Browns,Spencer Fano,T,Utah
2026,1,10,New York Giants,Francis Mauigoa,G,Miami (FL)
2026,1,11,Dallas Cowboys,Caleb Downs,S,Ohio State
2026,1,12,Miami Dolphins,Kadyn Proctor,T,Alabama
2026,1,13,Los Angeles Rams,Ty Simpson,QB,Alabama
2026,1,14,Baltimore Ravens,Vega Ioane,G,Penn State
2026,1,15,Tampa Bay Buccaneers,Rueben Bain Jr.,DE,Miami (FL)
2026,1,16,New York Jets,Kenyon Sadiq,TE,Oregon
2026,1,17,Detroit Lions,Blake Miller,T,Clemson
2026,1,18,Minnesota Vikings,Caleb Banks,DE,Florida
2026,1,19,Carolina Panthers,Monroe Freeling,T,Georgia
2026,1,20,Philadelphia Eagles,Makai Lemon,WR,USC
2026,1,21,Pittsburgh Steelers,Max Iheanachor,T,Arizona State
2026,1,22,Los Angeles Chargers,Akheem Mesidor,OLB,Miami (FL)
2026,1,23,Dallas Cowboys,Malachi Lawrence,DE,UCF
2026,1,24,Cleveland Browns,KC Concepcion,WR,Texas A&M
2026,1,25,Chicago Bears,Dillon Thieneman,S,Oregon
2026,1,26,Houston Texans,Keylan Rutledge,G,Georgia Tech
2026,1,27,Miami Dolphins,Chris Johnson,CB,San Diego State
2026,1,28,New England Patriots,Caleb Lomu,T,Utah
2026,1,29,Kansas City Chiefs,Peter Woods,DT,Clemson
2026,1,30,New York Jets,Omar Cooper Jr.,WR,Indiana
2026,1,31,Tennessee Titans,Keldric Faulk,DE,Auburn
2026,1,32,Seattle Seahawks,Jadarian Price,RB,Notre Dame
2026,2,33,San Francisco 49ers,De'Zhaun Stribling,WR,Ole Miss
2026,2,34,Arizona Cardinals,Chase Bisontis,G,Texas A&M
2026,2,35,Buffalo Bills,T. J. Parker,DE,Clemson
2026,2,36,Houston Texans,Kayden McDonald,DT,Ohio State
2026,2,37,New York Giants,Colton Hood,CB,Tennessee
2026,2,38,Las Vegas Raiders,Treydan Stukes,S,Arizona
2026,2,39,Cleveland Browns,Denzel Boston,WR,Washington
2026,2,40,Kansas City Chiefs,R Mason Thomas,DE,Oklahoma
2026,2,41,Cincinnati Bengals,Cashius Howell,DE,Texas A&M
2026,2,42,New Orleans Saints,Christen Miller,DT,Georgia
2026,2,43,Miami Dolphins,Jacob Rodriguez,LB,Texas Tech
2026,2,44,Detroit Lions,Derrick Moore,DE,Michigan
2026,2,45,Baltimore Ravens,Zion Young,OLB,Missouri
2026,2,46,Tampa Bay Buccaneers,Josiah Trotter,LB,Missouri
2026,2,47,Pittsburgh Steelers,Germie Bernard,WR,Alabama
2026,2,48,Atlanta Falcons,Avieon Terrell,CB,Clemson
2026,2,49,Carolina Panthers,Lee Hunter,DT,Texas Tech
2026,2,50,New York Jets,D'Angelo Ponds,CB,Indiana
2026,2,51,Minnesota Vikings,Jake Golday,LB,Cincinnati
2026,2,52,Green Bay Packers,Brandon Cisse,CB,South Carolina
2026,2,53,Indianapolis Colts,CJ Allen,LB,Georgia
2026,2,54,Philadelphia Eagles,Eli Stowers,TE,Vanderbilt
2026,2,55,New England Patriots,Gabe Jacas,DE,Illinois
2026,2,56,Jacksonville Jaguars,Nate Boerkircher,TE,Texas A&M
2026,2,57,Chicago Bears,Logan Jones,C,Iowa
2026,2,58,Cleveland Browns,Emmanuel McNeil-Warren,S,Toledo
