NFL DRAFT 2020-2024 WIDE RECEIVER SENIOR YEAR OF HIGH SCHOOL STATISTICS,,,,,,,,,,,,,,,,,,,,,,
,PICK,ROUND,PICK #,PLAYER,NAME,TEAM,SCHOOL,GP,Rec,Yds,Avg,Y/G,Lng,TD,GP,Car,Yds,Avg,Y/G,Lng,100+,TD
2025,1,1,8,8,Tetairoa McMillan ,Carolina Panthers,Arizona,13,88,1302,14.8,100.2,72,18,,,,,,,,
,2,1,19,19,Emeka Egbuka ,Tampa Bay Buccaneers,Ohio State,14,65,1427,22,101.9,99,22,14,10,43,4.3,3.1,9,,4
,3,1,23,23,Matthew Golden ,Green Bay Packers,Texas,12,74,1416,19.1,118,75,12,12,5,50,10,4.2,20,,0
,4,2,7,39,Luther Burden III ,Chicago Bears,Missouri,12,66,1085,16.4,90.4,0,18,12,1,54,54,4.5,,,1
,5,2,23,55,Tre Harris ,Los Angeles Chargers,Ole Miss,,,,,,,,,,,,,,,
,6,2,26,58,Jack Bech ,Las Vegas Raiders,TCU,9,59,1159,19.6,128.8,63,14,9,2,6,3,0.7,13,,1
,7,3,5,69,Kyle Williams ,New England Patriots,Washington State,,31,763,24.6,,,9,,,,,,,,
,8,3,6,70,Isaac TeSlaa,Detroit Lions,Arkansas,,,,,,,,,,1139,,,,,14
,9,3,10,74,Pat Bryant ,Denver Broncos,Illinois,11,44,942,21.4,85.6,75,7,11,6,26,4.3,2.4,9,,0
,10,3,15,79,Jaylin Noel ,Houston Texans,Iowa State,10,68,983,14.5,98.3,60,10,10,12,31,2.6,3.1,8,,0
,11,3,23,87,Savion Williams ,Green Bay Packers,TCU,10,12,121,10.1,12.1,20,2,10,91,990,10.9,99,68,5,18
,12,3,38,102,Tai Felton ,Minnesota Vikings,Maryland,,,,,,,,,,,,,,,
,13,4,1,103,Chimere Dike ,Tennessee Titans,Florida,,59,962,16.3,,,14,,,318,,,,,
,14,4,6,108,Dont'e Thornton Jr. ,Las Vegas Raiders,Tennessee,11,38,1021,26.9,92.8,76,16,,,,,,,,
,15,4,8,110,Arian Smith,New York Jets,Georgia,13,25,419,16.8,32.2,60,6,13,4,109,27.3,8.4,80,,2
,16,4,26,128,Jaylin Lane ,Washington Commanders,Virginia Tech,13,76,1592,20.9,122.5,80,28,13,4,14,3.5,1.1,,,0
,17,4,31,133,Jalen Royals ,Kansas City Chiefs,Utah State,9,26,455,17.5,50.6,0,4,,,,,,,,
,18,4,34,136,Elic Ayomanor ,Tennessee Titans,Stanford,,,,,,,,,,,,,,,
,19,4,36,138,Jordan Watkins ,San Francisco 49ers,Ole Miss,,37,712,19.2,,,7,,29,212,7.3,,,,3
,20,5,22,158,KeAndre Lambert-Smith,Los Angeles Chargers,Auburn,,,,,,,,,,,,,,,
,21,5,30,166,Tory Horton ,Seattle Seahawks,Colorado State,12,37,821,22.2,68.4,79,15,12,4,19,4.8,1.6,20,,1
,22,6,27,203,Lajohntay Wester,Baltimore Ravens,Colorado,12,35,758,21.7,63.2,0,8,12,17,135,7.9,11.3,27,,1
,23,6,32,208,Jimmy Horn Jr. ,Carolina Panthers,Colorado,12,50,826,16.5,68.8,66,10,12,29,196,6.8,16.3,48,1,3
,24,7,19,235,Tez Johnson ,Tampa Bay Buccaneers,Oregon,9,62,1140,18.4,126.7,,12,,,,,,,,
,25,7,22,238,Ricky White III ,Seattle Seahawks,UNLV,16,103,1519,14.7,94.9,69,19,16,6,70,11.7,4.4,45,,0
,26,7,24,240,Kaden Prather ,Buffalo Bills,Maryland,,42,895,21.3,,,9,,,,,,,,
,27,7,26,242,Konata Mumpfield ,Los Angeles Rams,Pittsburgh,,43,820,19.1,,,13,,,,,,,,
,28,7,28,244,Dominic Lovett ,Detroit Lions,Georgia,14,74,1548,20.9,110.6,53,17,14,6,105,17.5,7.5,0,1,1
,29,7,36,252,Junior Bergen ,San Francisco 49ers,Montana,9,4,57,14.3,6.3,30,1,9,111,868,7.8,96.4,64,4,17
,2025 AVERAGE,,,,,,,11.63,50.75,947.63,18.72,82.75,54.28,12.13,11.93,21.06,243.61,11.48,17.6,31.62,2.75,3.88
,,,,,,,,,,,,,,,,,,,,,,
2024,1,1,4,4,Marvin Harrison,Cardinals,Ohio State,,,,,,,,,,,,,,,
,2,1,6,6,Malik Nabers,Giants,Louisiana State,,,,,,,,,,,,,,,
,3,1,9,9,Rome Odunze,Bears,Washington,12,58,1322,22.79310345,110.2,93,16,,,,,,,,
,4,1,23,23,Brian Thomas,Jaguars,Louisiana State,,30,507,16.9,,,7,,,,,,,,
,5,1,28,28,Xavier Worthy,Chiefs,Texas,15,54,992,18.37037037,66.1,80,16,15,6,31,5.2,2.1,15,0,0
,6,1,31,31,Ricky Pearsall,49ers,Florida,10,65,815,12.53846154,81.5,                                                                                                                                                           ,4,,,,,,,,
,7,1,32,32,Xavier Legette,Panthers,South Carolina,,,,,,,,,,1826,,,,,19
,8,2,1,33,Keon Coleman,Bills,Florida State,,35,1143,32.65714286,,,22,,,,,,,,
,9,2,2,34,Ladd McConkey,Chargers,Georgia,,,,,,,,,,924,,,,,10
,10,2,5,37,Ja'Lynn Polk,Patriots,Washington,,54,1050,19.44444444,,,9,,,,,,,,
,11,2,20,52,Adonai Mitchell,Colts,Texas,8,28,417,14.89285714,52.1,46,5,8,45,203,4.5,25.4,19,1,4
,12,3,1,65,Malachi Corley,Jets,Western Kentucky,,37,756,20.43243243,,,5,,,,,,,,
,13,3,16,80,Jermaine Burton,Bengals,Alabama,,40,863,21.575,,,14,,,,,,,,
,14,3,20,84,Roman Wilson,Steelers,Michigan,,,,,,,,,,,,,,,
,15,3,28,92,Jalen McMillan,Buccaneers,Washington,14,89,1644,18.47191011,117.4,,12,,,,,,,,
,16,3,36,100,Luke McCaffrey,Commanders,Rice,,,,,,,,,,526,,,,,8
,17,4,2,102,Troy Franklin,Broncos,Oregon,,43,674,15.6744186,,,9,,,,,,,,
,18,4,10,110,Javon Baker,Patriots,Central Florida,13,58,629,10.84482759,48.4,46,11,,,,,,,,
,19,4,13,113,Devontez Walker,Ravens,North Carolina,12,32,554,17.3125,46.2,51,0,,,,,,,,
,20,4,35,135,Jacob Cowing,49ers,Arizona,10,28,872,31.14285714,87.2,80,10,10,30,261,8.7,26.1,61,1,4
,21,5,7,142,Anthony Gould,Colts,Oregon State,4,21,383,18.23809524,95.8,45,6,4,22,175,8,43.8,49,1,2
,22,5,17,152,Ainias Smith,Eagles,Texas A&M,11,55,717,13.03636364,65.2,,10,11,59,483,8.2,43.9,0,2,10
,23,5,21,156,Jamari Thrash,Browns,Louisville,14,37,888,24,63.4,81,12,,,,,,,,
,24,5,35,170,Bub Means,Saints,Pittsburgh,,19,460,24.21052632,,,6,,,,,,,,
,25,6,6,182,Jha'Quan Jackson,Titans,Tulane,,,,,,,,,,,,,,,
,26,6,8,184,Malik Washington,Dolphins,Virginia,10,55,792,14.4,79.2,63,5,10,43,287,6.7,28.7,79,1,9
,27,6,9,185,Johnny Wilson,Eagles,Florida State,11,40,672,16.8,61.1,54,10,,,,,,,,
,28,6,11,187,Casey Washington,Falcons,Illinois,9,42,565,13.45238095,62.8,58,5,,,,,,,,
,29,6,15,191,Tejhaun Palmer,Cardinals,Alabama-Birmingham,,,,,,,,,,,,,,,
,30,6,37,213,Jordan Whittington,Rams,Texas,11,46,905,19.67391304,82.3,66,12,11,31,512,16.5,46.5,71,2,9
,31,6,40,216,Ryan Flournoy,Cowboys,Southeast Missouri State,,,,,,,,,,,,,,,
,32,7,5,225,Brenden Rice,Chargers,USC,12,49,851,17.36734694,70.9,67,9,,,,,,,,
,33,7,15,235,Devaughn Vele,Broncos,Utah,15,52,980,18.84615385,65.3,87,11,,,,,,,,
,34,7,21,241,Tahj Washington,Dolphins,USC,13,45,868,19.28888889,66.8,57,12,,,,,,,,
,35,7,33,253,Cornelius Johnson,Chargers,Michigan,9,45,779,17.31111111,86.6,75,11,9,2,43,21.5,4.8,32,0,1
2020 - 2024 AVERAGES,,,,,,,,11.21,44.50,811.46,18.83,74.13,65.56,9.58,9.75,29.75,479.18,9.91,27.66,40.75,1.00,6.91
,,,,,,,,,,,,,,,,,,,,,,
2023,1,1,20,20,Jaxon Smith-Njigba,Seahawks,Ohio State,14,109,2132,19.6,152.3,75,34,14,33,132,4,9.4,23,0,4
,2,1,21,21,Quentin Johnston,Chargers,Texas Christian,,,,,,,,,,,,,,,
,3,1,22,22,Zay Flowers,Ravens,Boston College,12,38,652,17.2,54.3,55,8,12,2,29,14.5,2.4,,0,1
,4,1,23,23,Jordan Addison,Vikings,USC,,25,544,21.76,,,8,,,,,,,,
,5,2,8,39,Jonathan Mingo,Panthers,Mississippi,14,77,1451,18.8,103.6,77,14,,,,,,,,
,6,2,19,50,Jayden Reed,Packers,Michigan State,,59,"1,179",20,,,18,,,,,,,,
,7,2,24,55,Rashee Rice,Chiefs,Southern Methodist,,51,841,16.49019608,,,5,,,,,,,,
,8,2,32,63,Marvin Mims,Broncos,Oklahoma,,117,2628,22.46153846,,,32,,,,,,,,
,9,3,6,69,Nathaniel Dell,Texans,Houston,10,52,766,14.73076923,76.6,,8,,,,,,,,
,10,3,10,73,Jalin Hyatt,Giants,Tennessee,15,66,1361,20.62121212,,,26,,,,,,,,
,11,3,11,74,Cedric Tillman,Browns,Tennessee,,37,774,20.91891892,,,7,,,,,,,,
,12,3,16,79,Josh Downs,Colts,North Carolina,,83,1290,15.54216867,,,14,,,,,,,,
,13,3,31,94,Michael Wilson,Cardinals,Stanford,,56,1157,20.66071429,,,12,,,,,,,,
,14,3,37,100,Tre Tucker,Raiders,Cincinnati,,31,559,18.03225806,,,6,,,1389,,,,,23
,15,4,23,125,Derius Davis,Chargers,Texas Christian,,12,485,40.41666667,,,7,,,,,,,,
,16,4,29,131,Charlie Jones,Bengals,Purdue,4,9,183,20.3,45.8,50,1,4,28,156,5.6,39,66,0,1
,17,4,31,133,Tyler Scott,Bears,Cincinnati,,,,,,,,,,1337,,,,,21
,18,5,15,150,Justin Shorter,Bills,Florida,12,36,522,14.5,43.5,62,7,12,32,322,10.1,26.8,77,1,4
,19,5,24,159,Dontayvion Wicks,Packers,Virginia,,,,,,,,,,,,,,,
,20,5,42,177,Puka Nacua,Rams,Brigham Young,14,103,2336,22.7,166.9,87,26,,,,,,,,
,21,6,8,185,Parker Washington,Jaguars,Penn State,,49,829,16.91836735,,,14,,,,,,,,
,22,6,10,187,Kayshon Boutte,Patriots,Louisiana State,,47,1005,21.38297872,,,15,,71,874,,,,,12
,23,6,14,191,Trey Palmer,Buccaneers,Nebraska,13,39,1008,25.8,77.5,89,9,13,31,275,8.9,21.2,35,1,3
,24,6,18,195,A.T. Perry,Saints,Wake Forest,9,33,614,18.6,68.2,80,8,,,,,,,,
,25,6,28,205,Xavier Hutchinson,Texans,Iowa State,,74,1004,,,,11,,,,,,,,
,26,6,29,206,Andrei Iosivas,Bengals,Princeton,,,1300,,,,18,,,,,,,,
,27,6,33,210,Demario Douglas,Patriots,Liberty,,,,,,,,,,,,,,,
,28,7,2,219,Antoine Green,Lions,North Carolina,,,,,,,,,,,,,,,
,29,7,11,228,Cotton Dowell,Titans,Tennessee-Martin,,44,799,18.15909091,,,5,,,,,,,,
,30,7,27,244,Jalen Brooks,Cowboys,South Carolina,,44,771,17.52272727,,,9,,,,,,,,
,31,7,36,253,Ronnie Bell,49ers,Michigan,,89,1605,18.03370787,,,21,,15,163,,,,,3
,32,7,39,256,Grant DuBose,Packers,Charlotte,,,,,,,,,,,,,,,
2020 - 2024 AVERAGES,,,,,,,,11.70,55.20,1069.04,20.05,87.63,71.88,13.19,11.00,30.29,519.67,8.62,19.76,50.25,0.40,8.00
,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,8,8,Drake London,Falcons,USC,,62,1089,17.56451613,,,12,,,,,,,,
,2,1,10,10,Garrett Wilson,Jets,Ohio State,,,1151,,,,19,,,,,,,,
,3,1,11,11,Chris Olave,Saints,Ohio State,,93,1764,18.96774194,,,26,,,,,,,,
,4,1,12,12,Jameson Williams,Lions,Alabama,,68,1626,23.91176471,,,22,,,,,,,,
,5,1,16,16,Jahan Dotson,Commanders,Penn State,,62,889,14.33870968,,,15,,,,,,,,
,6,1,18,18,Treylon Burks,Titans,Arkansas,,45,1090,24.22222222,,,12,,,,,,,,
,7,2,2,34,Christian Watson,Packers,North Dakota State,13,23,393,17.1,30.2,48,8,,,,,,,,
,8,2,11,43,Wan'Dale Robinson,Giants,Kentucky,11,206,1973,9.6,179.4,87,30,,,,,,,,
,9,2,12,44,John Metchie,Texans,Alabama,7,27,616,22.8,88,76,11,7,8,67,8.4,9.6,48,0,0
,10,2,18,50,Tyquan Thornton,Patriots,Baylor,,,1100,,,,10,,,,,,,,
,11,2,20,52,George Pickens,Steelers,Georgia,5,25,654,26.2,130.8,88,7,,,,,,,,
,12,2,21,53,Alec Pierce,Colts,Cincinnati,,,,,,,,,,,,,,,
,13,2,22,54,Skyy Moore,Chiefs,Western Michigan,,,,,,,,,,,,,,,
,14,3,7,71,Velus Jones,Bears,Tennessee,,48,945,19.7,,,10,,,,,,,,
,15,3,24,88,Jalen Tolbert,Cowboys,South Alabama,,37,696,,,,9,,,,,,,,
,16,3,35,99,David Bell,Browns,Purdue,13,84,1477,17.6,113.6,80,22,,,,,,,,
,17,3,41,105,Danny Gray,49ers,Southern Methodist,,,,,,,,,,,,,,,
,18,4,20,125,Erik Ezukanma,Dolphins,Texas Tech,9,37,687,18.6,76.3,88,9,,,,,,,,
,19,4,27,132,Romeo Doubs,Packers,Nevada,9,93,1757,18.9,195.2,,28,,,,,,,,
,20,4,33,138,Calvin Austin,Steelers,Memphis,,,,,,,,,,,,,,,
,21,5,5,148,Khalil Shakir,Bills,Boise State,11,17,264,15.5,24,73,2,11,102,906,8.9,82.4,17,4,7
,22,5,19,162,Montrell Washington,Broncos,Samford,11,81,930,11.5,84.5,49,9,11,69,745,10.8,67.7,71,3,7
,23,5,20,163,Kyle Philips,Titans,UCLA,12,59,1318,22.3,109.8,80,10,,,,,,,,
,24,6,12,191,Jalen Nailor,Vikings,Michigan State,15,41,807,19.7,53.8,68,12,,,,,,,,
,25,6,23,202,Michael Woods,Browns,Oklahoma,10,51,1018,20,101.8,74,15,,,,,,,,
,26,7,8,229,Bo Melton,Seahawks,Rutgers,,51,766,,,,9,,,451,,,,,7
,27,7,12,233,Dareke Young,Seahawks,Lenoir-Rhyne,9,31,386,12.5,42.9,36,5,,,,,,,,
,28,7,37,258,Samori Toure,Packers,Nebraska,,,,,,,,,,,,,,,
2020 - 2024 AVERAGES,,,,,,,,10.38,59.10,1017.22,18.47,94.64,70.58,13.57,9.67,59.67,542.25,9.37,53.23,45.33,2.33,5.25
,,,,,,,,,,,,,,,,,,,,,,
