NFL DRAFT 2020-2025 DEFENSIVE END HIGH SCHOOL COMBINE DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEAR,PICK,ROUND,PICK #,PLAYER,NAME,TEAM,SCHOOL,HT,WT,WING,HAND,40,SHUT,3 CONE,VERT,BROAD,100M,110HH,200M,300IH,400M,400R,SHOT,DISCUS,JAVELIN,HJ,LJ,TJ
2025,1,1,11,11,Mykel Williams ,San Francisco 49ers,Georgia,77,265,83,10.04,,,,,,,,,,,,,,,,,
,2,1,17,17,Shemar Stewart ,Cincinnati Bengals,Texas A&M,78,272,84,9,4.83,4.98,,28.6,113,,,,,,,,,,,,
,3,1,26,26,James Pearce Jr. ,Atlanta Falcons,Tennessee,77,220,,,,,,,,,,,,,,,,,,,
,4,2,12,44,Donovan Ezeiruaku,Dallas Cowboys,Boston College,74,210,,,,,,,,,,,,,,39.58,80.92,,,17.33,37.42
,5,2,13,45,JT Tuimoloau,Indianapolis Colts,Ohio State,76,277,,,,,,,,,,,,,,,,,,,
,6,2,19,51,Nic Scourton ,Carolina Panthers,Texas A&M,75,258,79,9.625,,,,,,12.66,,,,,45.78,47.5,,,,,
,7,2,20,52,Oluwafemi Oladejo ,Tennessee Titans,UCLA,74,220,,,5.18,4.41,7.45,27.8,103,,,,,,,,,,,,
,8,3,2,66,Ashton Gillotte ,Kansas City Chiefs,Louisville,76,220,78,8.27,5.03,4.78,8.5,30,125,,,,,,,41,,,,,
,9,3,8,72,Landon Jackon ,Buffalo Bills,Arkansas,78,240,,,,,,,,,17.75,,,,,45.25,,,6,,41.5
,10,3,13,77,Princely Umanmielen ,Carolina Panthers,Ole Miss,76,260,,,5.07,4.37,,32.4,,,,,,,,49,,,,,
,11,3,14,78,Jordan Burch ,Arizona Cardinals,Oregon,77,265,,,,,,,,,,,,,,41.42,80.67,,,,
,12,3,37,101,Sai'vion Jones ,Denver Broncos,LSU,77,240,,,,,,,,,,24.18,,53.82,,39.25,114.17,,5.67,,
,13,4,19,121,David Walker ,Tampa Bay Buccaneers,Central Arkansas,73,220,,,,,,,,,,,,,,,,,,,
,14,4,21,123,Jack Sawyer ,Pittsburgh Steelers,Ohio State,77,248,,,,,,,,,,,,,,,,,,,
,15,4,22,124,Barryn Sorrell ,Green Bay Packers,Texas,76,253,78,9.06,,,,,,,,,,,,,,,,,
,16,4,23,125,Kyle Kennard ,Los Angeles Chargers,South Carolina,76,215,,,,4.66,,29.2,,,,,,,,,,,,,
,17,5,8,146,Bradyn Swinson ,New England Patriots,LSU,75,245,80,8.3,5.2,4.5,,27.5,,,,,,,,33.5,103.08,,,,
,18,5,21,157,Elijah Roberts ,Tampa Bay Buccaneers,SMU,75,267,82.75,10,5.01,4.81,,28.6,,,,,,,,47.58,,,,,
,19,5,40,176,Tyler Baron ,New York Jets,Miami,76,252,,,4.79,4.64,,30.1,,,,,,,,,68.25,,,,
,20,6,20,196,Ahmed Hassanein ,Detroit Lions,Boise State,74,270,,,,,,,,,,,,,,,,,,,
,21,6,33,209,Antwaun Powell - Ryland ,Philadelphia Eagles,Virginia Tech,75,234,,,,,,,,,,,,,,,,,,,
,22,7,38,254,Fadil Diggs ,New Orleans Saints,Syracuse,77,240,78,10,4.8,4.48,,25,,12.15,,25.15,,,,,,,,,
2025 AVERAGE,,,,,,,,75.86,245.05,80.34,9.29,4.99,4.63,7.98,28.80,113.67,12.41,17.75,24.67,,53.82,45.78,42.68,89.42,,5.84,17.33,39.46
2024,1,1,15,15,Laiatu Latu,Colts,UCLA,,,,,5.11,4.28,,25.2,,,,,,,,,,,,,
,2,1,17,17,Dallas Turner,Vikings,Alabama,,,,,,,,,,11.26,,22.68,,54.76,43.66,,,,6.17,,
,3,1,19,19,Jared Verse,Rams,Florida State,75,219,77.5,9,4.64,4.32,,28.9,,,,,,,,,,,,,
,4,1,21,21,Chop Robinson,Dolphins,Penn State,78,249,,,,,,,,,,,,,,47,81.5,,,,
,5,2,24,56,Marshawn Kneeland,Cowboys,Western Michigan,74,242,77,9.8,,,,,,,,,,55.4,,36.42,146.83,131.08,,,
,6,2,25,57,Chris Braswell,Buccaneers,Alabama,,,,,,,,,,,15.84,24.8,44.45,54.06,,,,,6.5,17.08,
,7,3,10,74,Bralen Trice,Falcons,Washington,,,,,,,,,,,,,,,,,,,,,
,8,3,12,76,Jonah Elliss,Broncos,Utah,,,,,,,,,,11.41,,24.55,,57.73,44.56,49.17,,,,,
,9,3,29,93,Adisa Isaac,Ravens,Penn State,,,,,,4.45,,29.6,,11.74,,24.44,,,,,,,,,
,10,3,30,94,Jalyx Hunt,Eagles,Houston Christian,,,,,,,,,,,,,,,,,,,5.17,17.42,37.42
,11,4,5,105,Justin Eboigbe,Chargers,Alabama,,,,,,,,26.4,,,,,,,,,,,,,
,12,4,9,109,Brandon Dorius,Falcons,Oregon,,,,,,,,,,,,,,,,,,,,,
,13,5,3,138,Xavier Thomas,Cardinals,Clemson,,,,,4.58,4.3,,33,,,,,,,,,,,,,
,14,5,9,144,Austin Booker,Bears,Kansas,,,,,,,,,,,,,,,,,146.58,,,,
,15,5,19,154,Brennan Jackson,Rams,Washington State,,,,,4.93,4.4,,,,,,,,,,,,,,,
,16,5,23,158,Mohamed Kamara,Dolphins,Colorado State,,,,,,,,,,11.56,,23.87,,55.03,46.18,42.08,,97.17,,,
,17,5,33,168,Javon Solomon,Bills,Troy,,,,,,,,,,,,,,,,,,,,,
,18,6,2,178,Logan Lee,Steelers,Iowa  ,78,239,,,5.13,4.42,,33,,,,,,,,55.67,159.25,,,,
,19,6,19,197,Zion Logue,Falcons,Georgia  ,,,,,5.15,4.95,,25.8,,,,,,,,40.75,,,,,
,20,6,38,214,Cedric Johnson,Bengals,Mississippi,,,,,,,,,,,,,,,,,,,,,
,21,7,2,222,Javontae Jean-Baptiste,Commanders,Notre Dame,,,,,4.78,4.53,,37.7,,,,,,,,45.08,,,5.33,19.5,42.17
,22,7,12,232,Levi Drake Rodriguez,Vikings,Texas A&M,,,,,,,,,,,,,,,,,,,,,
,23,7,14,234,Jonah Laulu,Colts,Oklahoma,,,,,,,,,,,,,,,,,,,,,
,24,7,18,238,Solomon Byrd,Texans,USC,,,,,,,,,,,,,,,,,,,,,
,25,7,23,243,Jowon Briggs,Browns,Cincinnati,,,,,5.35,4.47,,26.5,,,,,,,,49.08,157.25,,,,
,26,7,27,247,Marcus Harris,Auburn,Texans,,,,,,,,,,,,,,,,,,,,,
,27,7,32,252,Jaylen Harrell,Titans,Michigan,,,,,,,,,,,,,,,,,,,,,
2024 AVERAGE,,,,,,,,76.25,237.25,77.25,9.40,4.96,4.46,,29.57,,11.49,15.84,24.07,44.45,55.40,44.80,45.66,138.28,114.13,5.79,18.00,39.80
2023,1,1,7,7,Tyree Wilson,Raiders,Texas Tech,,,,,,,,,,,,,,,,,,,,,
