NFL DRAFT 2020-2024 DEFENSIVE END SENIOR YEAR OF HIGH SCHOOL STATISTICS,,,,,,,,,,,,,,,,,,
YEAR,PICK,ROUND,PICK #,PLAYER,NAME,TEAM,SCHOOL,GP,SOLO,ASST,TKLS,T/G,TFL,GP,SACKS,YDL,S/G,HURS
2025,1,1,11,11,Mykel Williams ,San Francisco 49ers,Georgia,10,57,24,81,8.1,20.5,10,12.5,74,1.3,11
,2,1,17,17,Shemar Stewart ,Cincinnati Bengals,Texas A&M,,,,,,,,,,,
,3,1,26,26,James Pearce Jr. ,Atlanta Falcons,Tennessee,,,,,,14,,14.5,,,
,4,2,12,44,Donovan Ezeiruaku,Dallas Cowboys,Boston College,,,,47,,9,,2,,,11
,5,2,13,45,JT Tuimoloau,Indianapolis Colts,Ohio State,,,,64,,,,11,,,
,6,2,19,51,Nic Scourton ,Carolina Panthers,Texas A&M,,,,,,,,,,,
,7,2,20,52,Oluwafemi Oladejo ,Tennessee Titans,UCLA,14,,,84,6,14,14,5,,0.4,
,8,3,2,66,Ashton Gillotte ,Kansas City Chiefs,Louisville,11,57,30,87,7.9,22,11,16,64,1.5,
,9,3,8,72,Landon Jackon ,Buffalo Bills,Arkansas,,,,,,,,17,,,
,10,3,13,77,Princely Umanmielen ,Carolina Panthers,Ole Miss,10,31,38,69,6.9,11,10,5,17,0.5,0
,11,3,14,78,Jordan Burch ,Arizona Cardinals,Oregon,,,,,,,,,,,
,12,3,37,101,Sai'vion Jones ,Denver Broncos,LSU,11,52,17,69,6.3,18,11,7,52,0.6,17
,13,4,19,121,David Walker ,Tampa Bay Buccaneers,Central Arkansas,,,,,,,,,,,
,14,4,21,123,Jack Sawyer ,Pittsburgh Steelers,Ohio State,11,37,0,37,3.4,19,11,13.5,84,1.2,0
,15,4,22,124,Barryn Sorrell ,Green Bay Packers,Texas,,,,,,,,,,,
,16,4,23,125,Kyle Kennard ,Los Angeles Chargers,South Carolina,10,25,18,43,4.3,21,10,11,68,1.1,14
,17,5,8,146,Bradyn Swinson ,New England Patriots,LSU,7,36,21,57,8.1,9,7,5,32,0.7,20
