NFL DRAFT 2020-2025 DEFENSIVE TACKLE HIGH SCHOOL COMBINE DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEAR,PICK,ROUND,PICK #,PLAYER,NAME,TEAM,SCHOOL,HT,WT,WING,HAND,40,SHUT,3 CONE,VERT,BROAD,100M,110HH,200M,300IH,400M,400R,SHOT,DISCUS,JAVELIN,HJ,LJ,TJ
2025,1,1,5,5,Mason Graham ,Cleveland Browns,Michigan,76,295,76.5,,,,,,,,,,,,,41.33,107.42,,,,
,2,1,13,13,Kenneth Grant ,Miami Dolphins,Michigan,76,335,,,,,,,,,,,,,,60.25,118,,,,
,3,1,16,16,Walter Nolen ,Arizona Cardinals,Ole Miss,76,325,79,,5.21,4.55,,23.3,97,,,,,,,31.08,85,,,,
,4,1,21,21,Derrick Harmon,Pittsburgh Steelers,Oregon,77,360,81,,5.51,5.19,,22.2,,,,,,,,32.75,92.42,,,,
,5,1,28,28,Tyleik Williams ,Detroit Lions,Ohio State,75,330,,,5.11,4.59,,29,,,,,,,,,,,,,
,6,2,9,41,T.J. Sanders ,Buffalo Bills,South Carolina,77,275,,,,,,,,,,,,,,,,,,,
,7,2,11,43,Alfred Collins ,San Francisco 49ers,Texas,77,276,,,5,4.44,,29.3,,,,,,,,50.42,142.33,,,,37.42
,8,2,30,62,Shemar Turner ,Chicago Bears,Texas A&M,76,282,,,,,,27.6,,,,,,,,47.58,131.92,,,,
,9,2,31,63,Omarr Norman-Lott,Kansas City Chiefs,Tennessee,74,295,80,11,,,,,,,,,,,,47.67,110.58,,,,
,10,3,1,65,Darius Alexander ,New York Giants,Toledo,76,282,,,5.13,4.94,,27.7,,,,,,,,47.58,76.67,,,,
,11,3,7,71,Vernon Broughton ,New Orleans Saints,Texas,77,286,,,5.03,4.75,,24.4,,,,,,,,,,,,,
,12,3,22,86,Jamaree Caldwell,Los Angeles Chargers,Oregon,73,320,,,,,,,,,,,,,,,,,,,
,13,4,7,109,Deone Walker ,Buffalo Bills,Kentucky,79,350,,,,,,,,,,,,,,44.17,94.08,,,,
,14,4,9,111,Ty Robinson ,Philadelphia Eagles,Nebraska,77,280,,,,,,,,,,,,,,,,,,,
,15,4,11,113,CJ West ,San Francisco 49ers,Indiana,74,305,,,,,,,,,,,,,,,,,,,
,16,4,33,135,Tonka Hemingway ,Las Vegas Raiders,South Carolina,74,255,,,5.3,4.7,,26.3,,,,,,,,,,,,,
,17,4,35,137,Joshua Farmer ,New England Patriots,Florida State,74,251,,,,,,,,,,,,,,32.83,,,,,
,18,5,1,139,Tyrion Ingram-Dawkins,Minnesota Vikings,Georgia,77,298,,,5.24,4.5,,31.2,,,,,,,,,,,,,
,19,5,2,140,Cam Jackson ,Carolina Panthers,Florida,77,271,,,5.7,5.21,,21.9,,,,,,,,,91.75,,,,
,20,5,4,142,Rylie Mills ,Seattle Seahawks,Notre Dame,77,260,,,,,,,,,,,,,,45.92,148,,,,
,21,5,5,143,Jordan Phillips ,Miami Dolphins,Maryland,74,295,,,,,,,,,,,,,,,,,,,
,22,5,10,148,Ty Hamilton ,Los Angeles Rams,Ohio State,75,245,,,,,,,,,,,,,,,,,,,
,23,5,28,164,Yahya Black ,Pittsburgh Steelers,Iowa,77,250,,,,,,,,,,,,,,50.83,141,,,,
,24,6,4,180,JJ Pegues ,Las Vegas Raiders,Ole Miss,74,280,,,,,,28.1,,,,,,,,,,,,,
,25,6,14,190,Tim Smith ,Indianapolis Colts,Alabama,76,320,,10.5,,4.95,,21.7,,,,,,,45.19,51.83,171.25,,,,
,26,6,22,198,Warren Brinson ,Green Bay Packers,Georgia,77,297,,,,,,,,,,,,,,42.17,102.5,,,,
,27,6,34,210,Aeneas Peebles,Baltimore Ravens,Virginia Tech,74,265,,,,,,,,,,,,,,30.42,65.58,,,,
,28,7,1,217,Jay Toia,Dallas Cowboys,UCLA,74,315,,,,,,,,,,,,,,39.92,76,,,,
,29,7,8,224,Kyonte Hamilton ,Houston Texans,Rutgers,77,230,,,,,,,,,,,,,,,,,,,
,30,7,31,247,Tommy Akingbesote ,Dallas Cowboys,Maryland,76,270,,,,,,,,,,,,,,,,,,,
,31,7,37,253,Zeek Biggers ,Miami Dolphins,Georgia Tech,78,325,,,,,,,,,,,,,,,,,,,
2025 AVERAGE,,,,,,,,75.84,291.06,79.13,10.75,5.25,4.78,,26.06,97.00,,,,,,45.19,43.55,109.66,,,,37.42
2024,1,1,16,16,Byron Murphy,Seahawks,Texas,,,,,5.09,4.66,,31.3,,,,,,,,38.67,,,,,
,2,1,27,27,Darius Robinson,Cardinals,Missouri,,,,,,,,,,,,,,,,,,,,,
,3,2,3,35,Ruke Orhorhoro,Falcons,Clemson,,,,,,,,,,,,,,,47.42,,,,,,
,4,2,4,36,Jer'Zhan Newton,Commanders,Illinois,75,249,,,5.22,5.01,,24.4,,,,,,,,,,,,,
,5,2,6,38,T'Vondre Sweat,Titans,Texas,,,,,,,,,,,,,,,,,,,,,
,6,2,7,39,Braden Fiske,Rams,Florida State,77,334,84,7.87,,,,,,,,,,,,,,,,,
,7,2,16,48,Maason Smith,Jaguars,Louisiana State,,,,,,,,,,,,,,,,,,,,,
,8,2,17,49,Kris Jenkins,Bengals,Michigan,,,,,,,,,,,,,,,,,,,,,
,9,2,22,54,Michael Hall,Browns,Ohio State,74,327,,,4.99,4.82,,28.4,,,,,,,,,,,,,
,10,3,31,95,DeWayne Carter,Bills,Duke,,,,,,,,,,,,,,,,,,,,,
,11,3,33,97,McKinnley Jackson,Bengals,Texas A&M,72,284,,,5.27,4.88,,25.1,,,,,,,,,,,,,
