NFL DRAFT 2020-2025 QUARTERBACK SENIOR YEAR OF HIGH SCHOOL STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PICK,ROUND,PICK #,PLAYER,NAME,TEAM,SCHOOL,GP,C,Att,Yds,C%,Avg,Y/G,C/G,TD,TD/G,Int,Lng,QBR,GP,Car,Yds,Avg,Y/G,Lng,100+,TD
2025,1,1,1,1,Cam Ward ,Tennessee Titans,Miami,10,49,109,948,0.45,19.3,94.8,4.9,8,0.8,5,78,81.1,10,29,107,3.7,10.7,21,0,5
,2,1,25,25,Jaxson Dart ,New York Giants,Ole Miss,14,240,345,4691,0.696,19.5,335.1,17.1,67,4.8,4,93,146.9,14,128,1195,9.3,85.4,43,6,12
,3,2,8,40,Tyler Shough,New Orleans Saints,Louisville,12,176,282,3071,0.624,17.4,255.9,14.7,30,2.5,5,94,127.5,12,46,101,2.2,8.4,21,0,1
,4,3,28,92,Jalen Milroe,Seattle Seahawks,Alabama,10,82,134,1257,0.612,15.3,125.7,8.2,13,1.3,2,58,118.3,10,39,307,7.9,30.7,55,1,5
,5,3,30,94,Dillon Gabriel,Cleveland Browns,Oregon,,,,3754,,,,,38,,,,,,,,,,,,
,6,5,6,144,Shedeur Sanders,Cleveland Browns,Colorado,12,251,366,3702,0.686,,,,43,,,,,,,,,,,,
,7,6,5,181,Kyle McCord,Philadelphia Eagles,Syracuse,,,,,,,,,,,,,,,,,,,,,
,8,6,9,185,Will Howard,Pittsburgh Steelers,Ohio State,14,151,238,2543,0.634,16.8,181.6,10.8,27,1.9,8,70,123.3,14,68,276,4.1,19.7,37,0,12
,9,6,13,189,Riley Leonard,Indianapolis Colts,Notre Dame,10,149,205,1870,0.727,12.6,187,14.9,20,2,5,93,123,10,83,494,6,49.4,13,1,5
,10,6,21,197,Graham Mertz,Houston Texans,Florida,,,,3886,0.611,,,,51,,,,,,,267,,,,,4
,11,6,37,213,Tommy Mellott,Las Vegas Raiders,Montana State,12,191,300,2940,0.637,15.4,245,15.9,30,2.5,4,70,123.8,12,162,1217,7.5,101.4,60,4,16
,12,6,39,215,Cam Miller,Las Vegas Raiders,North Dakota State,,,,2436,,,,,28,,,,,,,840,,,,,12
,13,7,11,227,Kurtis Rourke,San Francisco 49ers,Indiana,,,,,,,,,,,,,,,,,,,,,
,14,7,15,231,Quinn Ewers,Miami Dolphins,Texas,8,159,241,2442,0.66,15.4,305.3,19.9,28,3.5,5,75,129.4,8,32,133,4.2,16.6,6,0,3
