NFL DRAFT 2022-2025 RUNNING BACK HIGH SCHOOL COMBINE DATA,,,,,,,,,,,,,,,,,,,,,,,
,PICK,ROUND,PICK #,PLAYER,NAME,TEAM,SCHOOL,HT,WT,WING,HAND,40,SHUT,3 CONE,VERT,BROAD,100M,200M,400M,SHOT,HJ,LJ,TJ
2025,1,1,6,6,Ashton Jeanty,Raiders,Boise State,69,195,,,,,,,,11.13,,,,,23.25,
,2,1,22,22,Omarion Hampton ,Chargers,North Carolina,72,215,,,,,,,,10.71,22.47,,37.83,,20.67,38.67
,3,2,4,36,Quinshon Judkins,Browns,Ohio State,71,200,,,4.87,,,30,119,11.96,24.97,,,,,
,4,2,6,38,TreVeyon Henderson ,Patriots,Ohio State,71,205,74,9,4.58,4.56,,29.5,,10.9,,1:0.81,,5.67,,
,5,2,28,60,RJ Harvey ,Broncos,UCF,70,185,,,4.41,4.4,,38.6,,11.29,23.58,,,,18.33,
,6,3,19,83,Kaleb Johnson ,Steelers,Iowa,73,215,78,9,4.78,4.43,7.67,28.2,111.5,11.26,22.25,,,,,
,7,4,2,104,Bhayshul Tuten ,Jaguars,Virginia Tech,69,193,,,4.59,4.45,,32.1,120,10.93,23.85,,43.75,,21.42,
,8,4,3,105,Cam Skattebo ,Giants,Arizona State,70,200,,,,,,,,,,,,,,
,9,4,12,114,Trevor Etienne,Panthers,Georgia,69,218,71,9.5,,,,,,12.03,,,,,,
,10,4,14,116,Woody  Marks,Texans,USC,70,185,,,4.6,4.13,,36.1,,11.13,22.16,50.84,,,18.25,
,11,4,15,117,Jarquez  Hunter,Rams,Auburn,70,195,,,,,,,,11.04,,,,5.42,,
,12,4,24,126,Dylan Sampson,Browns,Tennessee,70,180,,,4.7,4.4,,30.4,108,10.48,21.16,,,,,
,13,5,9,147,Jordan James,49ers,Oregon,70,205,,,4.69,,,,,11.32,23.33,,,,,
,14,5,12,149,Jaydon Blue,Cowboys,Texas,71,205,75,7.87,4.68,4.31,7.64,,121,10.7,22.5,,,,,
,15,5,14,151,DJ  Giddens,Colts,Kansas State,73,205,,,,,,,,11.18,23.19,,,,21.5,
,16,6,3,179,Ollie Gordon II,Dolphins,Oklahoma State,73,210,,,,,,,,12.25,,,,,21,45.42
,17,6,8,184,Devin Neal,Saints,Kansas,71,208,,,,,,,,,,,,,,
,18,6,12,188,Kalel  Mullings,Titans,Michigan,73,220,,,,,,30.8,,11.43,23.04,,,,19.42,
,19,6,17,193,Tahj Brooks ,Bengals,Texas Tech,70,212,74.5,9.5,4.8,4.22,,36.1,,12.38,25.52,,,,,
,20,7,7,223,Damien Martinez,Seahawks,Miami,70,220,,,,,,,,11.37,,,,,,
,21,7,12,228,Brashard Smith ,Chiefs,SMU,69,186,74.5,9,4.52,4.34,,29.5,,,,,,,,
,22,7,17,233,Kyle Monangai,Bears,Rutgers,68,203,,,,,,33.7,,11.83,24.89,,,,,
,23,7,20,236,LeQuint  Allen ,Jaguars,Syracuse,72,180,,,,,,,,,,1:3.32,32.58,,,
,24,7,23,239,Phil Mafah,Cowboys,Clemson,73,215,,,,,,,,11.4,24.15,,36.33,,,
,25,7,29,245,Jacory Croskey - Merritt,Commanders,Arizona,71,170,,,,,,,,,,,,,19.92,
, 2025 AVERAGE,,,,,,,70.72,201.00,74.50,8.98,4.66,4.36,7.66,32.27,115.90,11.34,23.36,50.84,37.62,5.55,20.42,42.05
,,,,,,,,,,,,,,,,,,,,,,,
2024,1,2,14,46,Jonathon Brooks,Panthers,Texas,,,,,,,,,,11.02,23.1,,,,,41.33
