NFL DRAFT 2020-2025 SAFETY HIGH SCHOOL COMBINE DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEAR,PICK,ROUND,PICK #,PLAYER,NAME,TEAM,SCHOOL,HT,WT,WING,HAND,40,SHUT,3 CONE,VERT,BROAD,100M,110HH,200M,300IH,400M,400R,SHOT,DISCUS,JAVELIN,HJ,LJ,TJ
2025,1,1,27,27,Malaki Starks ,Baltimore Ravens,Georgia,73,200,,,,,,,,10.55,,21.67,,,42.42,,,,,24.75,43.92
,2,2,3,35,Nick Emmanwori ,Seattle Seahawks,South Carolina,75,208,,,,,,,,,,,,,,,,,,,
,3,2,32,64,Andrew Mukuba,Philadelphia Eagles,Texas,72,185,,,,,,,,11.48,,22.64,,55.55,41.71,,,,,19.08,37.92
,4,3,18,82,Kevin Winston Jr. ,Tennessee Titans,Penn State,73,190,,,,,,,,,,23.67,,49.93,,,,,,,
,5,3,27,93,Jonas Sanker ,New Orleans Saints,Virginia,73,193,,,,,,,,,,,,,,,,,,,
,6,3,30,96,Xavier Watts ,Atlanta Falcons,Notre Dame,72,188,,,,,,,,,,,,54.96,43.01,,,,5.83,18.83,
,7,4,4,106,Craig Woodson ,New England Patriots,California,71,190,,,,,,,,,,,,,,,,,6.42,,
,8,4,16,118,Billy Bowman Jr. ,Atlanta Falcons,Oklahoma,70,175,,,,,,,,10.84,,23.09,,,40.92,,,,,22.67,
,9,4,20,122,Lathan Ransom ,Carolina Panthers,Ohio State,73,193,,,4.67,4.2,,37.3,,11.95,,,,,44.53,,,,,,
,10,4,28,130,Malachi Moore,New York Jets,Alabama,71,178,,8.75,4.59,4.25,,36.6,,,,,,,,,,,,,
,11,5,19,155,Dante Trader Jr. ,Miami Dolphins,Maryland,72,180,,,,4.35,,,,,,,,,,,,,,,
,12,5,24,160,Marques Sigle,San Francisco 49ers,Kansas State,70,170,,,4.8,4.19,,34.2,116,11.77,,22.91,,,42.73,,,,5,19.75,
,13,6,11,187,Jaylen Reed ,Houston Texans,Penn State,72,190,,,,,,,,,16.55,,,,44.66,,,,,,
,14,6,24,200,Rayuan Lane III,Jacksonville Jaguars,Navy,71,175,,,,,,,,10.99,,23.41,,,42.53,,,,5.17,18.5,34.25
