NFL DRAFT 2022-2025 TIGHT END HIGH SCHOOL COMBINE DATA,,,,,,,,,,,,,,,,,,,,,,,,,
YEAR,PICK,ROUND,PICK #,PLAYER,NAME,TEAM,SCHOOL,HT,WT,WING,HAND,40,SHUT,VERT,BROAD,100M,110HH,200M,300IH,400M,SHOT,DISCUS,HJ,LJ,TJ
2025,1,1,10,10,Colston Loveland ,Bears,Michigan,77,230,,,,,,,12.54,,,,,46,143.5,5.33,,
,2,1,14,14,Tyler Warren ,Colts,Penn State,77,223,,,4.76,4.31,32.1,,,,,,,,,,,
,3,2,10,42,Mason Taylor ,Jets,LSU,76,230,,,,,,,,,,,,,,,,
,4,2,14,46,Terrance Ferguson ,Rams,Oregon,77,230,,,,,,,13.05,,,,,,,,,
,5,2,18,50,Elijah Arroyo ,Seahawks,Miami,76,210,,,,,,,,,,,,,,6.17,,
,6,3,3,67,Harold Fannin Jr. ,Browns,Bowling Green,75,220,,,,,,,,,,,,,,,,
,7,4,18,120,Gunnar Helm ,Titans,Texas,76,219,,,,,,,,,,,,,,,,
,8,5,27,163,Mitchell Evans ,Panthers,Notre Dame,78,240,,,,,,,,,,,,,,,,
,9,5,29,165,Oronde Gadsden II ,Chargers,Syracuse,76,190,,,,,,,11.84,15.13,,38.44,53.24,,,,,
,10,5,37,173,Jackson Hawes ,Bills,Georgia Tech,76,210,,,,,,,,,,,,,,,,
,11,5,39,175,Robbie Ouzts ,Seahawks,Alabama,76,240,,,,,,,,,,,,,,,,
,12,6,26,202,Gavin Bartholomew ,Vikings,Pittsburgh,77,248,,,,,,,,,,,,,,,,
,13,7,3,219,Thomas Fidone II ,Giants,Nebraska,77,220,,,,,,,,16.73,25.43,,54.61,,,6.17,,
,14,7,25,241,Caleb Lohner ,Broncos,Utah,80,225,,,,,,,,,,,,,,,,
,15,7,32,248,Moliki Matavao ,Saints,UCLA,78,240,,,,,,,,,,,,,,,,
,16,7,39,255,Luke Lachey ,Texans,Iowa,78,215,,,,,,,,,23.84,,50.92,,,6.5,19.58,
, 2025 AVERAGE,,,,,,,76.88,224.38,,,4.76,4.31,32.10,,12.48,15.93,24.64,38.44,52.92,46.00,143.50,6.04,19.58,
,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,1,13,13,Brock Bowers,Raiders,Georgia,75,215,,,4.55,4.44,40.2,,,,,,,,,,,
,2,2,21,53,Ben Sinnott,Commanders,Kansas State,,,,,,,,,,,,,,,,6.17,,
,3,3,18,82,Tip Reiman,Cardinals,Illinois,,,,,4.76,4.57,,116,11.89,,24.48,,59.81,,,,18.5,41.17
,4,4,1,101,Ja'Tavion Sanders,Panthers,Texas,,,,,,,,,,,25.82,,,,,,,
,5,4,7,107,Theo Johnson,Giants,Penn State,78,242,79.5,10.25,4.63,4.28,34.6,,,,,,,,,,,
,6,4,15,115,Erick All,Bengals,Iowa,,,,,4.95,4.27,34.5,,,,,,,,,,,
,7,4,21,121,AJ Barner,Seahawks,Michigan,,,,,,,,,,,,,,,,,,
,8,4,23,123,Cade Stover,Texans,Ohio State,,,,,4.9,4.43,28.1,,,,,,,,,,,
,9,4,31,131,Jared Wiley,Chiefs,Texas Christian,,,,,5.03,4.71,28.1,,,,,,,,,5.67,,
,10,6,18,194,Tanner McLachlan,Bengals,Arizona,,,,,,,,,,,,,,,,,,
,11,7,11,231,Jaheim Bell,Patriots,Florida State,73,214,,,4.6,4.22,36.1,,,,,,,,,,,
,12,7,26,246,Devin Culp,Buccaneers,Washington,,,,,,,,,,,,,,,,,,
2024 AVERAGE,,,,,,,,75.33,223.67,79.50,10.25,4.77,4.42,33.60,116.00,11.89,,25.15,,59.81,,,5.92,18.50,41.17
,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,1,25,25,Dalton Kincaid,Bills,Utah,,,,,,,,,,,,,,,,,,
,2,2,3,34,Sam LaPorta,Lions,Iowa,76,208,,,4.78,4.88,31.6,,,17.74,,49.34,,44.5,140.17,,16.25,37.92
,3,2,4,35,Michael Mayer,Raiders,Notre Dame,,,,,4.84,4.29,31.3,,,,,,,,,,,
,4,2,11,42,Luke Musgrave,Packers,Oregon State,,,,,,,,,11.25,,23.43,,,40.92,,,22.08,44.33
,5,2,27,58,Luke Schoonmaker,Cowboys,Michigan,,,,,,,,,,,,,,,,,,
,6,2,30,61,Brenton Strange,Jaguars,Penn State,,,,,,,,,,,,,,,,,,
,7,3,15,78,Tucker Kraft,Packers,South Dakota State,,,,,,,,,,,23.62,42.68,,51.75,160.42,5.42,,
,8,3,30,93,Darnell Washington,Steelers,Georgia,79.5,261,,,4.75,4.5,31.3,,11.34,,23.85,,58.26,50.67,131,5.67,,40.83
,9,3,38,101,Cameron Latu,49ers,Alabama,,,,,4.82,4.38,36.7,,,,,,,45.92,91.42,,,
,10,5,12,147,Josh Whyle,Titans,Cincinnati,,,,,,,,,,,,,,,,,,
,11,5,27,162,Will Mallory,Colts,Miami (FL),,,,,4.68,4.41,31.2,,10.99,14.91,22.95,40.09,,,,6,,
,12,5,36,171,Payne Durham,Buccaneers,Purdue,,,,,,,,,,,,,,,,,,
,13,5,40,175,Davis Allen,Rams,Clemson,,,,,,,,,,,,,,,,,,
,14,6,20,197,Elijah Higgins,Dolphins,Stanford,80,221,,,4.88,4.27,30.4,,,14.47,23.54,39.8,51.14,,,6.58,,
,15,7,3,220,Zack Kuntz,Jets,Old Dominion,,,,,,4.3,34.2,,,,,,,,,6.17,,
,16,7,30,247,Brayden Willis,49ers,Oklahoma,,,,,,,,,,,,,,,,,,
2023 AVERAGE,,,,,,,,78.50,230.00,,,4.79,4.43,32.39,,11.19,15.71,23.48,42.98,54.70,46.75,130.75,5.97,19.17,41.03
,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,23,55,Trey McBride,Cardinals,Colorado State,,,,,,,,,,,,,,,,,,
,2,3,9,73,Jelani Woods,Colts,Virginia,,,,,5,4.41,29.6,,,,,,,,,5.5,,
,3,3,16,80,Greg Dulcich,Broncos,UCLA,75,209,,,4.76,4.34,31.6,,12.56,,24.01,,,39.17,,5.5,17.83,38
,4,3,37,101,Jeremy Ruckert,Jets,Ohio State,78,230,,,4.76,4.46,35.1,,,,,,,,,,,
,5,4,1,106,Cade Otton,Buccaneers,Washington,,,,,,,,,,,,,,,,,,
,6,4,7,112,Daniel Bellinger,Giants,San Diego State,,,,,,,,,11.04,18.54,23.04,45,51.96,,,,,
,7,4,23,128,Charlie Kolar,Ravens,Iowa State,,,,,4.89,4.15,27.1,,,,,,,,,,,
,8,4,24,129,Jake Ferguson,Cowboys,Wisconsin,,,,,4.73,4.15,34.4,,,,,,,,,,,
,9,4,34,139,Isaiah Likely,Ravens,Coastal Carolina,,,,,,,,,,,,,,,,,,
,10,4,38,143,Chigoziem Okonkwo,Titans,Maryland,75,224,,,4.74,4.63,34.2,,11.88,,25.58,,,,,,17.83,38.25
,11,5,6,149,Cole Turner,Commanders,Nevada,79,209,,,,4.32,33.2,,,,26.84,,,,,6,,
,12,5,27,170,Teagan Quitoriano,Texans,Oregon State,,,,,,,,,13.21,,27.58,,,,,5.5,16,
,13,5,34,177,James Mitchell,Lions,Virginia Tech,,,,,4.77,4.41,29.9,,11.89,,24.07,44.68,55.6,,,5.33,,41.17
,14,6,13,192,Andrew Ogletree,Colts,Youngstown State,,,,,,,,,,,,,,,,,,
,15,6,19,198,Grant Calcaterra,Eagles,Southern Methodist,76,225,,,4.64,4.04,35.8,,,,,,,,,,,
,16,6,34,213,John Fitzpatrick,Falcons,Georgia,,,,,5.06,4.63,26.4,,,,,,,,,,,
,17,6,39,218,Ko Kieft,Buccaneers,Minnesota,,,,,,,,,,,,,,,,,,
,18,7,6,227,Nick Muse,Vikings,South Carolina,,,,,,,,,,,,,,43.5,142.17,,,36
2022 AVERAGE,,,,,,,,76.60,219.40,,,4.82,4.35,31.73,,12.12,18.54,25.19,44.84,53.78,41.34,142.17,5.57,17.22,38.36
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,HT,WT,WING,HAND,40,SHUT,VERT,BROAD,100M,110HH,200M,300IH,400M,SHOT,DISCUS,HJ,LJ,TJ
