NFL DRAFT 2022-2025 WIDE RECEIVER HIGH SCHOOL COMBINE DATA,,,,,,,,,,,,,,,,,,,,,
,PICK,ROUND,PICK #,PLAYER,NAME,TEAM,SCHOOL,HT,WT,WING,HAND,40,SHUT,VERT,BROAD,100M,200M,400M,HJ,LJ,TJ
2025,1,1,8,8,Tetairoa McMillan ,Panthers,Arizona,77,185,78.5,10,,,,,,,,,,
,2,1,19,19,Emeka Egbuka ,Buccaneers,Ohio State,73,190,75,9,,4.2,35.1,,,,,,,
,3,1,23,23,Matthew Golden ,Packers,Texas,73,190,,,,,,,10.93,23.7,,,21.67,
,4,2,7,39,Luther Burden III ,Bears,Missouri,72,200,,,,,,,,,,,,
,5,2,23,55,Tre Harris ,Chargers,Ole Miss,75,185,,,4.77,4.51,29.8,119,,,,,,
,6,2,26,58,Jack Bech ,Raiders,TCU,74,215,,,,,,,,,,,,
,7,3,5,69,Kyle Williams ,Patriots,Washington State,72,173,82,9,4.74,4.54,33.6,,11.46,22.83,,,,
,8,3,6,70,Isaac TeSlaa,Lions,Arkansas,75,185,,,,,,,11.73,,,,22.25,
,9,3,10,74,Pat Bryant ,Broncos,Illinois,75,185,79,9,4.87,4.32,32,,12.18,25.19,,5.42,18.83,34.25
,10,3,15,79,Jaylin Noel ,Texans,Iowa State,70,175,,,,,,,11.07,23.84,1:1.14,6.42,,
,11,3,23,87,Savion Williams ,Packers,TCU,76,200,,,,,,,,22.7,,,,
,12,3,38,102,Tai Felton ,Vikings,Maryland,74,172,,,4.81,4.13,35,,,,,,,
,13,4,1,103,Chimere Dike ,Titans,Florida,72,180,,,,,,,10.85,21.95,51.82,,22.33,34.08
,14,4,6,108,Dont'e Thornton Jr. ,Raiders,Tennessee,76,185,,,4.63,4.5,33,,11.02,,,6.17,22.17,43.33
,15,4,8,110,Arian Smith,Jets,Georgia,73,165,,,,,,,10.3,21.01,,,25.25,
,16,4,26,128,Jaylin Lane ,Commanders,Virginia Tech,70,175,,,,,,,11.13,22.98,,,15.58,
,17,4,31,133,Jalen Royals ,Chiefs,Utah State,73,180,,,,,,,,25.9,,6.33,,
,18,4,34,136,Elic Ayomanor ,Titans,Stanford,74,205,,,,,,,10.76,21.66,50.15,,21.75,
,19,4,36,138,Jordan Watkins ,49ers,Ole Miss,72,180,,,,4.34,,,10.97,22.41,52.53,,,
,20,5,22,158,KeAndre Lambert-Smith,Chargers,Auburn,73,176,,,4.5,3.83,39.3,,11.68,24.25,,,21.5,
,21,5,30,166,Tory Horton ,Seahawks,Colorado State,73,170,,,4.76,,35,,,,,6.17,,
,22,6,27,203,Lajohntay Wester,Ravens,Colorado,69,148,,,4.81,4.22,26,110,12.54,27.3,,,,
,23,6,32,208,Jimmy Horn Jr. ,Panthers,Colorado,69,160,,,,,,,10.66,26.35,1:0.09,,23,47.42
,24,7,19,235,Tez Johnson ,Buccaneers,Oregon,69,138,,,4.61,4.37,37.2,,,,,,,
,25,7,22,238,Ricky White III ,Seahawks,UNLV,73,165,76,9,,,,,11.78,,,,,
,26,7,24,240,Kaden Prather ,Bills,Maryland,75,200,,,4.6,4.56,29.7,,,,,,,
,27,7,26,242,Konata Mumpfield ,Rams,Pittsburgh,72,175,,,,,,,,,,,,
,28,7,28,244,Dominic Lovett ,Lions,Georgia,70,175,,,4.65,4.27,31.4,,11.04,23.45,,,20.25,
,29,7,36,252,Junior Bergen ,49ers,Montana,71,165,,,,,,,11.95,26.7,57.24,,,
,2025 AVERAGE,,,,,,,72.76,179.21,78.10,9.20,4.70,4.32,33.09,114.50,11.30,23.89,52.94,6.10,21.33,39.77
2024,1,1,4,4,Marvin Harrison,Cardinals,Ohio State,76,185,,,4.64,4.52,31.3,,,23.35,54.4,,,
,2,1,6,6,Malik Nabers,Giants,Louisiana State,,,74,,4.69,4.39,32.5,121,,23.42,,,,
,3,1,9,9,Rome Odunze,Bears,Washington,74,198,76.5,9,4.55,4,33.8,,10.67,21.25,54.02,,,
